genome	protein_id	ko	evalue	score
GCF_004378445.1	WP_014418255.1	K01505	1.3e-15	54.9
GCF_004378445.1	WP_007410365.1	K01915	1.3e-108	362.2
GCF_004378445.1	WP_021494094.1	K02406	4.1e-139	462.8
GCF_004378445.1	WP_007408775.1	K02556	1.3e-96	321.9
GCF_004378445.1	WP_017417652.1	K02557	2e-72	242.5
GCF_004378445.1	WP_029973461.1	K03407	1.1e-224	746.0
GCF_004378445.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_004378445.1	WP_007410400.1	K03833	2.1e-79	265.8
GCF_004378445.1	WP_199768232.1	K03834	7.5e-21	72.3
GCF_004378445.1	WP_199768232.1	K03837	1.6e-170	565.2
GCF_004378445.1	WP_134261001.1	K04103	4.4e-72	241.1
GCF_004378445.1	WP_017418128.1	K06390	1.8e-130	433.1
GCF_004378445.1	WP_029973338.1	K07636	8.7e-126	418.6
GCF_004378445.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_004378445.1	WP_088461189.1	K16531	1.8e-17	60.9
GCF_004563755.2	WP_039167852.1	K00366	1.5e-87	292.4
GCF_004563755.2	WP_135009145.1	K00372	1.3e-278	924.7
GCF_004563755.2	WP_096881187.1	K01077	2e-107	358.4
GCF_004563755.2	WP_007500937.1	K01505	2.8e-15	53.8
GCF_004563755.2	WP_007499421.1	K01915	2.3e-108	361.5
GCF_004563755.2	WP_041092274.1	K02406	6.8e-129	429.1
GCF_004563755.2	WP_008346088.1	K02556	2.1e-92	308.1
GCF_004563755.2	WP_024719648.1	K02557	6.6e-70	234.3
GCF_004563755.2	WP_024720362.1	K03407	5.9e-226	750.2
GCF_004563755.2	WP_003212360.1	K03413	4e-47	159.2
GCF_004563755.2	WP_007496302.1	K03833	2.9e-79	265.4
GCF_004563755.2	WP_008342854.1	K04103	1.9e-70	235.7
GCF_004563755.2	WP_024718857.1	K06390	1.8e-133	443.0
GCF_004563755.2	WP_017358268.1	K07636	1.3e-124	414.8
GCF_004563755.2	WP_007501691.1	K07657	1.4e-84	282.0
GCF_004563755.2	WP_008342707.1	K16531	7.8e-24	82.0
GCF_005234095.1	WP_029946327.1	K00366	3.5e-84	281.3
GCF_005234095.1	WP_128737487.1	K00372	2.7e-280	930.3
GCF_005234095.1	WP_080009778.1	K01077	2.9e-113	377.7
GCF_005234095.1	WP_014475691.1	K01113	1.6e-165	550.5
GCF_005234095.1	WP_024573432.1	K01505	9.9e-15	52.0
GCF_005234095.1	WP_003231737.1	K01915	1.8e-107	358.6
GCF_005234095.1	WP_032726957.1	K02406	9.5e-131	435.3
GCF_005234095.1	WP_014477672.1	K02556	1.8e-94	315.0
GCF_005234095.1	WP_003232473.1	K02557	4.2e-72	241.5
GCF_005234095.1	WP_015483230.1	K03407	2.8e-225	748.0
GCF_005234095.1	WP_014476812.1	K03413	5.4e-48	162.1
GCF_005234095.1	WP_017695827.1	K03833	3.6e-79	265.1
GCF_005234095.1	WP_137200588.1	K04103	9e-71	236.8
GCF_005234095.1	WP_086344072.1	K06390	4.5e-132	438.4
GCF_005234095.1	WP_134982329.1	K07636	4.2e-125	416.4
GCF_005234095.1	WP_003246107.1	K07657	3e-84	280.9
GCF_005234095.1	WP_032726037.1	K16531	1.1e-20	71.6
GCF_008831405.1	WP_029725918.1	K00366	8.1e-84	280.1
GCF_008831405.1	WP_038427346.1	K00372	6.3e-281	932.5
GCF_008831405.1	WP_072692869.1	K01077	4.7e-113	377.0
GCF_008831405.1	WP_038427315.1	K01113	9.9e-166	551.3
GCF_008831405.1	WP_029726772.1	K01505	1.7e-14	51.2
GCF_008831405.1	WP_015252037.1	K01915	3.5e-107	357.7
GCF_008831405.1	WP_029725988.1	K02406	3.6e-133	443.3
GCF_008831405.1	WP_014477672.1	K02556	1.8e-94	315.0
GCF_008831405.1	WP_003232473.1	K02557	4.3e-72	241.5
GCF_008831405.1	WP_014476817.1	K03407	2.5e-225	748.2
GCF_008831405.1	WP_014476812.1	K03413	5.5e-48	162.1
GCF_008831405.1	WP_003235058.1	K03833	2.1e-79	265.9
GCF_008831405.1	WP_003246569.1	K04103	3.8e-71	238.1
GCF_008831405.1	WP_032722103.1	K06390	3.8e-132	438.7
GCF_008831405.1	WP_029726381.1	K07636	6.9e-125	415.8
GCF_008831405.1	WP_003246107.1	K07657	3e-84	280.9
GCF_008831405.1	WP_021481536.1	K16531	1.1e-20	71.6
GCF_012955605.1	WP_170007463.1	K00366	2.2e-19	66.7
GCF_012955605.1	WP_170008401.1	K00372	1.7e-205	682.4
GCF_012955605.1	WP_170008294.1	K01077	3.9e-98	327.3
GCF_012955605.1	WP_170007150.1	K01505	1.3e-15	54.5
GCF_012955605.1	WP_170007272.1	K01915	5.3e-108	359.9
GCF_012955605.1	WP_170008234.1	K02406	6.8e-29	98.8
GCF_012955605.1	WP_170008372.1	K02556	6.9e-94	312.6
GCF_012955605.1	WP_170007949.1	K02557	1.3e-74	249.4
GCF_012955605.1	WP_170007394.1	K03407	2.3e-224	744.6
GCF_012955605.1	WP_170007404.1	K03413	9.7e-47	157.5
GCF_012955605.1	WP_170007253.1	K03833	2.4e-130	434.0
GCF_012955605.1	WP_170008144.1	K04103	2.4e-68	228.4
GCF_012955605.1	WP_170007624.1	K06390	1.6e-124	413.2
GCF_012955605.1	WP_228027619.1	K07636	1.2e-129	431.0
GCF_012955605.1	WP_170007514.1	K07657	2.5e-86	287.4
GCF_012955605.1	WP_170007769.1	K16531	1.4e-16	57.6
GCF_013342875.1	WP_047183176.1	K00366	2.8e-84	281.7
GCF_013342875.1	WP_047182059.1	K00372	4.3e-279	926.4
GCF_013342875.1	WP_080344160.1	K01077	4e-113	377.3
GCF_013342875.1	WP_015382673.1	K01113	1.5e-165	550.7
GCF_013342875.1	WP_015383968.1	K01505	9.9e-15	52.0
GCF_013342875.1	WP_003231737.1	K01915	1.9e-107	358.6
GCF_013342875.1	WP_029725988.1	K02406	3.6e-133	443.3
GCF_013342875.1	WP_014477672.1	K02556	1.9e-94	315.0
GCF_013342875.1	WP_003232473.1	K02557	4.4e-72	241.5
GCF_013342875.1	WP_015483230.1	K03407	2.9e-225	748.0
GCF_013342875.1	WP_014476812.1	K03413	5.6e-48	162.1
GCF_013342875.1	WP_003235058.1	K03833	2.1e-79	265.9
GCF_013342875.1	WP_047182118.1	K04103	6.6e-72	240.6
GCF_013342875.1	WP_003230226.1	K06390	4.6e-132	438.4
GCF_013342875.1	WP_047183011.1	K07636	4.4e-126	419.7
GCF_013342875.1	WP_003246107.1	K07657	3.1e-84	280.9
GCF_013342875.1	WP_047182804.1	K16531	6.8e-21	72.4
GCF_013347105.1	WP_024122835.1	K00366	1e-84	283.1
GCF_013347105.1	WP_106021076.1	K00372	3e-279	927.0
GCF_013347105.1	WP_106020847.1	K01077	4.7e-116	387.0
GCF_013347105.1	WP_106021195.1	K01113	2.9e-164	546.5
GCF_013347105.1	WP_106020026.1	K01505	3e-15	53.8
GCF_013347105.1	WP_024121509.1	K01915	5.9e-107	357.0
GCF_013347105.1	WP_106019634.1	K02406	4e-129	430.0
GCF_013347105.1	WP_024122512.1	K02556	1.7e-95	318.4
GCF_013347105.1	WP_024121173.1	K02557	1.3e-71	240.0
GCF_013347105.1	WP_106020713.1	K03407	3.8e-226	750.9
GCF_013347105.1	WP_010334256.1	K03413	1.6e-47	160.6
GCF_013347105.1	WP_010332768.1	K03833	6.9e-79	264.2
GCF_013347105.1	WP_095714111.1	K04103	1.6e-70	236.0
GCF_013347105.1	WP_024122021.1	K06390	4.6e-134	445.0
GCF_013347105.1	WP_106020250.1	K07636	2.5e-125	417.2
GCF_013347105.1	WP_095713202.1	K07657	4.7e-83	277.1
GCF_013347105.1	WP_059336621.1	K16531	2.2e-18	64.1
GCF_013348705.1	WP_012118438.1	K00366	2.6e-83	278.3
GCF_013348705.1	WP_011996307.1	K00372	4.1e-277	919.7
GCF_013348705.1	WP_012117173.1	K01077	7e-111	369.7
GCF_013348705.1	WP_011996268.1	K01113	7.6e-168	558.1
GCF_013348705.1	WP_012117857.1	K01505	1.7e-15	54.4
GCF_013348705.1	WP_007410365.1	K01915	1.3e-108	362.2
GCF_013348705.1	WP_007614094.1	K02406	5.3e-138	459.1
GCF_013348705.1	WP_012118208.1	K02556	1.3e-96	321.8
GCF_013348705.1	WP_003154685.1	K02557	1.8e-72	242.6
GCF_013348705.1	WP_023356898.1	K03407	3.5e-225	747.6
GCF_013348705.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_013348705.1	WP_007410400.1	K03833	2.1e-79	265.8
GCF_013348705.1	WP_012116839.1	K04103	1.5e-71	239.3
GCF_013348705.1	WP_012117969.1	K06390	8.9e-131	434.1
GCF_013348705.1	WP_012118165.1	K07636	6.1e-126	419.1
GCF_013348705.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_013348705.1	WP_088461189.1	K16531	1.8e-17	60.9
GCF_014042035.1	WP_154994899.1	K00366	1e-84	283.1
GCF_014042035.1	WP_182069286.1	K00372	3.8e-279	926.6
GCF_014042035.1	WP_182070412.1	K01077	1.7e-99	332.3
GCF_014042035.1	WP_182069465.1	K01113	2.2e-168	560.0
GCF_014042035.1	WP_154998185.1	K01505	6.6e-16	55.9
GCF_014042035.1	WP_003182145.1	K01915	1.4e-108	362.3
GCF_014042035.1	WP_146874673.1	K02406	2.6e-130	433.9
GCF_014042035.1	WP_076791151.1	K02556	8.1e-94	312.8
GCF_014042035.1	WP_154996025.1	K02557	2.5e-73	245.6
GCF_014042035.1	WP_182070680.1	K03407	3e-224	744.7
GCF_014042035.1	WP_003181796.1	K03413	2.3e-46	156.7
GCF_014042035.1	WP_003178321.1	K03833	1.7e-79	266.2
GCF_014042035.1	WP_154999801.1	K03834	3.1e-14	50.6
GCF_014042035.1	WP_154995881.1	K04103	1.8e-68	229.3
GCF_014042035.1	WP_182070395.1	K06390	1.8e-131	436.5
GCF_014042035.1	WP_182070238.1	K07636	2.7e-124	413.8
GCF_014042035.1	WP_043928422.1	K07657	7.9e-83	276.3
GCF_014042035.1	WP_182070467.1	K16531	1.1e-20	71.6
GCF_014673515.1	WP_003180762.1	K00366	5.8e-86	287.2
GCF_014673515.1	WP_011197552.1	K00372	1.5e-277	921.3
GCF_014673515.1	WP_011198101.1	K01077	5.4e-102	340.5
GCF_014673515.1	WP_003178586.1	K01113	1.9e-168	560.2
GCF_014673515.1	WP_003182974.1	K01505	5.8e-16	56.1
GCF_014673515.1	WP_003182145.1	K01915	1.4e-108	362.3
GCF_014673515.1	WP_263282247.1	K02406	4.7e-44	149.3
GCF_014673515.1	WP_011198198.1	K02556	2.8e-94	314.4
GCF_014673515.1	WP_003181091.1	K02557	2.6e-73	245.5
GCF_014673515.1	WP_009328508.1	K03407	1e-224	746.2
GCF_014673515.1	WP_003181796.1	K03413	2.3e-46	156.7
GCF_014673515.1	WP_003178321.1	K03833	1.7e-79	266.2
GCF_014673515.1	WP_003184100.1	K04103	3.1e-68	228.5
GCF_014673515.1	WP_003183411.1	K06390	1.3e-130	433.6
GCF_014673515.1	WP_009329362.1	K07636	3.9e-124	413.3
GCF_014673515.1	WP_003183084.1	K07657	7.6e-83	276.3
GCF_014673515.1	WP_003182961.1	K16531	3.7e-21	73.2
GCF_014842935.1	WP_039253860.1	K00366	3.5e-83	277.9
GCF_014842935.1	WP_039252838.1	K00372	1e-276	918.4
GCF_014842935.1	WP_033575133.1	K01113	1.6e-167	557.1
GCF_014842935.1	WP_020954213.1	K01505	1.1e-15	55.1
GCF_014842935.1	WP_007410365.1	K01915	1.3e-108	362.2
GCF_014842935.1	WP_039253658.1	K02406	7.5e-137	455.4
GCF_014842935.1	WP_007408775.1	K02556	1.3e-96	321.9
GCF_014842935.1	WP_003154685.1	K02557	1.9e-72	242.6
GCF_014842935.1	WP_039251503.1	K03407	1.5e-225	748.9
GCF_014842935.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_014842935.1	WP_007410400.1	K03833	2.1e-79	265.8
GCF_014842935.1	WP_039252713.1	K04103	4.9e-72	240.9
GCF_014842935.1	WP_039254506.1	K06390	1.2e-130	433.7
GCF_014842935.1	WP_039254239.1	K07636	3.7e-125	416.5
GCF_014842935.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_014842935.1	WP_088461189.1	K16531	1.8e-17	60.9
GCF_015732475.1	WP_015387719.1	K00366	1.2e-83	279.6
GCF_015732475.1	WP_196616549.1	K00372	1.5e-182	606.9
GCF_015732475.1	WP_003155322.1	K01077	1.3e-110	368.9
GCF_015732475.1	WP_014304274.1	K01113	1.6e-167	557.1
GCF_015732475.1	WP_196616011.1	K01505	9.5e-16	55.3
GCF_015732475.1	WP_003154048.1	K01915	1.3e-108	362.3
GCF_015732475.1	WP_015387631.1	K02406	8.5e-139	461.8
GCF_015732475.1	WP_003152386.1	K02556	5.9e-97	323.1
GCF_015732475.1	WP_003154685.1	K02557	1.9e-72	242.6
GCF_015732475.1	WP_015388231.1	K03407	1.3e-225	749.2
GCF_015732475.1	WP_003154238.1	K03413	1.3e-47	160.8
GCF_015732475.1	WP_003156451.1	K03833	3.1e-79	265.3
GCF_015732475.1	WP_196479392.1	K03834	3.5e-20	70.1
GCF_015732475.1	WP_196479392.1	K03837	2.2e-170	564.8
GCF_015732475.1	WP_014304370.1	K04103	1.6e-72	242.6
GCF_015732475.1	WP_044053459.1	K06390	1.2e-130	433.8
GCF_015732475.1	WP_015387864.1	K07636	4.8e-126	419.5
GCF_015732475.1	WP_003153397.1	K07657	1.5e-83	278.7
GCF_015732475.1	WP_088005508.1	K16531	3.6e-17	60.0
GCF_016904925.1	WP_052827842.1	K00366	2.1e-83	278.7
GCF_016904925.1	WP_204530467.1	K00372	1.1e-181	604.1
GCF_016904925.1	WP_204530400.1	K01077	4.8e-111	370.4
GCF_016904925.1	WP_204530239.1	K01113	2.3e-167	556.6
GCF_016904925.1	WP_101562230.1	K01505	1.5e-15	54.6
GCF_016904925.1	WP_003154048.1	K01915	1.3e-108	362.3
GCF_016904925.1	WP_007407474.1	K02406	7e-138	458.8
GCF_016904925.1	WP_156735661.1	K02556	2.5e-96	321.1
GCF_016904925.1	WP_014417581.1	K02557	1.9e-72	242.7
GCF_016904925.1	WP_156735039.1	K03407	1.3e-225	749.1
GCF_016904925.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_016904925.1	WP_003156451.1	K03833	3e-79	265.3
GCF_016904925.1	WP_174738400.1	K04103	3.9e-72	241.3
GCF_016904925.1	WP_044053459.1	K06390	1.1e-130	433.8
GCF_016904925.1	WP_109567112.1	K07636	4.7e-126	419.6
GCF_016904925.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_016904925.1	WP_088005508.1	K16531	3.6e-17	60.0
GCF_017338795.1	WP_098408009.1	K00366	9.7e-86	286.5
GCF_017338795.1	WP_016885148.1	K00372	8.9e-278	922.1
GCF_017338795.1	WP_003183293.1	K01077	8.6e-102	339.9
GCF_017338795.1	WP_003178586.1	K01113	2e-168	560.2
GCF_017338795.1	WP_003182974.1	K01505	6.1e-16	56.1
GCF_017338795.1	WP_003182145.1	K01915	1.4e-108	362.3
GCF_017338795.1	WP_057957824.1	K02406	1.1e-134	448.3
GCF_017338795.1	WP_009329389.1	K02556	2.2e-94	314.7
GCF_017338795.1	WP_003181091.1	K02557	2.7e-73	245.5
GCF_017338795.1	WP_009328508.1	K03407	1.1e-224	746.2
GCF_017338795.1	WP_003181796.1	K03413	2.4e-46	156.7
GCF_017338795.1	WP_003178321.1	K03833	1.8e-79	266.2
GCF_017338795.1	WP_003184100.1	K04103	3.3e-68	228.5
GCF_017338795.1	WP_003183411.1	K06390	1.4e-130	433.6
GCF_017338795.1	WP_003184312.1	K07636	4.2e-124	413.2
GCF_017338795.1	WP_003183084.1	K07657	8e-83	276.3
GCF_017338795.1	WP_061565947.1	K16531	1.8e-20	71.0
GCF_018530835.1	WP_003243849.1	K00366	3.5e-84	281.3
GCF_018530835.1	WP_061891261.1	K00372	4.3e-278	923.1
GCF_018530835.1	WP_080480994.1	K01077	1.4e-113	378.7
GCF_018530835.1	WP_014478721.1	K01113	1.4e-165	550.8
GCF_018530835.1	WP_014480121.1	K01505	9.5e-15	52.0
GCF_018530835.1	WP_003231737.1	K01915	1.8e-107	358.6
GCF_018530835.1	WP_003228021.1	K02406	7.3e-130	432.4
GCF_018530835.1	WP_014477672.1	K02556	1.8e-94	315.0
GCF_018530835.1	WP_003232473.1	K02557	4.2e-72	241.5
GCF_018530835.1	WP_014476817.1	K03407	2.5e-225	748.2
GCF_018530835.1	WP_014476812.1	K03413	5.4e-48	162.1
GCF_018530835.1	WP_003235058.1	K03833	2e-79	265.9
GCF_018530835.1	WP_046380791.1	K04103	4.7e-71	237.8
GCF_018530835.1	WP_029317922.1	K06390	4.5e-132	438.4
GCF_018530835.1	WP_004398493.1	K07636	3.7e-125	416.6
GCF_018530835.1	WP_003246107.1	K07657	3e-84	280.9
GCF_018530835.1	WP_003230620.1	K16531	1.1e-20	71.6
GCF_019285615.1	WP_003151735.1	K00366	1.8e-83	279.0
GCF_019285615.1	WP_218791480.1	K00372	2.1e-277	920.8
GCF_019285615.1	WP_015239477.1	K01077	4.2e-111	370.6
GCF_019285615.1	WP_218791468.1	K01113	1.8e-167	557.0
GCF_019285615.1	WP_015240101.1	K01505	1.1e-15	55.1
GCF_019285615.1	WP_007410365.1	K01915	1.5e-108	362.2
GCF_019285615.1	WP_007614094.1	K02406	5.9e-138	459.1
GCF_019285615.1	WP_218791327.1	K02556	4.2e-95	317.1
GCF_019285615.1	WP_003154685.1	K02557	2e-72	242.6
GCF_019285615.1	WP_122503907.1	K03407	3.6e-225	747.7
GCF_019285615.1	WP_003154238.1	K03413	1.3e-47	160.8
GCF_019285615.1	WP_007410400.1	K03833	2.3e-79	265.8
GCF_019285615.1	WP_014416943.1	K04103	4.9e-72	241.0
GCF_019285615.1	WP_007408342.1	K06390	1.4e-130	433.6
GCF_019285615.1	WP_025285095.1	K07636	6.7e-126	419.1
GCF_019285615.1	WP_003153397.1	K07657	1.5e-83	278.7
GCF_019285615.1	WP_095532179.1	K16531	1.3e-17	61.5
GCF_019880425.1	WP_191389207.1	K00366	2.2e-83	278.7
GCF_019880425.1	WP_174747470.1	K00372	1.9e-276	917.6
GCF_019880425.1	WP_043021357.1	K01077	1.9e-111	371.7
GCF_019880425.1	WP_021495297.1	K01113	1.6e-167	557.2
GCF_019880425.1	WP_014418255.1	K01505	1.3e-15	54.9
GCF_019880425.1	WP_007410365.1	K01915	1.4e-108	362.2
GCF_019880425.1	WP_022553864.1	K02406	2.1e-139	463.8
GCF_019880425.1	WP_007408775.1	K02556	1.4e-96	321.9
GCF_019880425.1	WP_017417652.1	K02557	2.1e-72	242.5
GCF_019880425.1	WP_022553341.1	K03407	5.9e-225	746.9
GCF_019880425.1	WP_003154238.1	K03413	1.3e-47	160.8
GCF_019880425.1	WP_007410400.1	K03833	2.2e-79	265.8
GCF_019880425.1	WP_201741795.1	K03834	2.2e-21	74.1
GCF_019880425.1	WP_201741795.1	K03837	1.5e-170	565.4
GCF_019880425.1	WP_191389486.1	K04103	1.7e-71	239.2
GCF_019880425.1	WP_007408342.1	K06390	1.3e-130	433.6
GCF_019880425.1	WP_022552838.1	K07636	1.5e-125	417.9
GCF_019880425.1	WP_003153397.1	K07657	1.5e-83	278.7
GCF_019880425.1	WP_088461189.1	K16531	1.9e-17	60.9
GCF_020149955.1	WP_025649282.1	K00366	2.2e-83	278.7
GCF_020149955.1	WP_017419377.1	K00372	6.5e-277	919.1
GCF_020149955.1	WP_017417347.1	K01077	2e-111	371.6
GCF_020149955.1	WP_129093581.1	K01113	6.1e-167	555.2
GCF_020149955.1	WP_014418255.1	K01505	1.3e-15	54.9
GCF_020149955.1	WP_017417829.1	K01915	1.1e-108	362.5
GCF_020149955.1	WP_017418819.1	K02406	3.6e-139	463.1
GCF_020149955.1	WP_007408775.1	K02556	1.4e-96	321.9
GCF_020149955.1	WP_017417652.1	K02557	2.1e-72	242.5
GCF_020149955.1	WP_021493681.1	K03407	6.5e-225	746.8
GCF_020149955.1	WP_003154238.1	K03413	1.3e-47	160.8
GCF_020149955.1	WP_007410400.1	K03833	2.2e-79	265.8
GCF_020149955.1	WP_014304370.1	K04103	1.6e-72	242.6
GCF_020149955.1	WP_017418128.1	K06390	1.9e-130	433.1
GCF_020149955.1	WP_065181001.1	K07636	7.9e-126	418.8
GCF_020149955.1	WP_003153397.1	K07657	1.5e-83	278.7
GCF_020149955.1	WP_088461189.1	K16531	1.9e-17	60.9
GCF_021892375.1	WP_003151735.1	K00366	1.7e-83	279.0
GCF_021892375.1	WP_108725174.1	K00372	4.1e-277	919.7
GCF_021892375.1	WP_108725077.1	K01077	2e-111	371.5
GCF_021892375.1	WP_021495297.1	K01113	1.5e-167	557.2
GCF_021892375.1	WP_020954213.1	K01505	1.1e-15	55.1
GCF_021892375.1	WP_007410365.1	K01915	1.4e-108	362.2
GCF_021892375.1	WP_038460035.1	K02406	7e-138	458.8
GCF_021892375.1	WP_007408775.1	K02556	1.3e-96	321.9
GCF_021892375.1	WP_003154685.1	K02557	1.9e-72	242.6
GCF_021892375.1	WP_007409792.1	K03407	1e-225	749.4
GCF_021892375.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_021892375.1	WP_007410400.1	K03833	2.1e-79	265.8
GCF_021892375.1	WP_014416943.1	K04103	4.6e-72	241.0
GCF_021892375.1	WP_007408342.1	K06390	1.3e-130	433.6
GCF_021892375.1	WP_237436586.1	K07636	7.7e-126	418.8
GCF_021892375.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_021892375.1	WP_095532179.1	K16531	1.2e-17	61.5
GCF_022808645.1	WP_243298452.1	K00366	5.5e-21	72.5
GCF_022808645.1	WP_041846742.1	K00372	3e-31	106.3
GCF_022808645.1	WP_243298696.1	K01077	8.5e-118	392.8
GCF_022808645.1	WP_243298508.1	K01505	6e-12	42.9
GCF_022808645.1	WP_243296512.1	K01915	1.1e-107	359.3
GCF_022808645.1	WP_243299769.1	K02406	6.6e-133	442.5
GCF_022808645.1	WP_243299215.1	K02556	1.2e-97	325.5
GCF_022808645.1	WP_279326852.1	K02557	6e-73	244.4
GCF_022808645.1	WP_243296417.1	K03407	1.4e-222	739.2
GCF_022808645.1	WP_243296407.1	K03413	6.4e-48	161.9
GCF_022808645.1	WP_243300371.1	K03833	2.2e-137	457.8
GCF_022808645.1	WP_243299306.1	K04103	1.2e-69	233.3
GCF_022808645.1	WP_243297255.1	K06390	4.2e-128	425.5
GCF_022808645.1	WP_243300148.1	K07636	6.8e-130	432.3
GCF_022808645.1	WP_243298999.1	K07657	3.5e-83	277.5
GCF_022808645.1	WP_243300398.1	K16531	8.6e-22	75.4
GCF_022808785.1	WP_243356382.1	K00366	6.9e-22	75.5
GCF_022808785.1	WP_243354671.1	K01077	1.3e-117	392.2
GCF_022808785.1	WP_243298508.1	K01505	6.1e-12	42.9
GCF_022808785.1	WP_243296512.1	K01915	1.2e-107	359.3
GCF_022808785.1	WP_279326373.1	K02406	6e-118	393.2
GCF_022808785.1	WP_243299215.1	K02556	1.2e-97	325.5
GCF_022808785.1	WP_279326268.1	K02557	3.5e-73	245.2
GCF_022808785.1	WP_243296417.1	K03407	1.4e-222	739.2
GCF_022808785.1	WP_243296407.1	K03413	6.5e-48	161.9
GCF_022808785.1	WP_243354258.1	K03833	3.8e-138	460.4
GCF_022808785.1	WP_243298110.1	K04103	6.8e-67	224.2
GCF_022808785.1	WP_243355099.1	K06390	8.3e-129	427.8
GCF_022808785.1	WP_243300148.1	K07636	7e-130	432.3
GCF_022808785.1	WP_243298999.1	K07657	3.6e-83	277.5
GCF_022808785.1	WP_243300398.1	K16531	8.7e-22	75.4
GCF_024262145.1	WP_212339117.1	K00366	8.8e-88	293.1
GCF_024262145.1	WP_025207473.1	K00372	8.8e-278	921.9
GCF_024262145.1	WP_041507529.1	K01077	3.9e-107	357.3
GCF_024262145.1	WP_052320777.1	K01505	4.2e-15	53.1
GCF_024262145.1	WP_007499421.1	K01915	2.2e-108	361.5
GCF_024262145.1	WP_008346306.1	K02406	6e-129	429.2
GCF_024262145.1	WP_008346088.1	K02556	2e-92	308.1
GCF_024262145.1	WP_019743067.1	K02557	1.5e-69	233.1
GCF_024262145.1	WP_052320408.1	K03407	2e-225	748.4
GCF_024262145.1	WP_007499584.1	K03413	1.7e-47	160.3
GCF_024262145.1	WP_007496302.1	K03833	2.8e-79	265.4
GCF_024262145.1	WP_008342854.1	K04103	1.8e-70	235.7
GCF_024262145.1	WP_254505592.1	K06390	6.3e-134	444.4
GCF_024262145.1	WP_048001854.1	K07636	1.4e-124	414.7
GCF_024262145.1	WP_007501691.1	K07657	1.4e-84	282.0
GCF_024262145.1	WP_008342707.1	K16531	7.4e-24	82.0
GCF_024262185.1	WP_015714700.1	K00366	5.2e-84	280.9
GCF_024262185.1	WP_088467517.1	K00372	9.1e-281	932.0
GCF_024262185.1	WP_072692869.1	K01077	5e-113	377.0
GCF_024262185.1	WP_254462364.1	K01113	2.3e-165	550.1
GCF_024262185.1	WP_014480121.1	K01505	1e-14	52.0
GCF_024262185.1	WP_003231737.1	K01915	2e-107	358.6
GCF_024262185.1	WP_015714795.1	K02406	3.3e-128	427.0
GCF_024262185.1	WP_014477672.1	K02556	1.9e-94	315.0
GCF_024262185.1	WP_003232473.1	K02557	4.6e-72	241.5
GCF_024262185.1	WP_014476817.1	K03407	2.7e-225	748.2
GCF_024262185.1	WP_014476812.1	K03413	5.8e-48	162.1
GCF_024262185.1	WP_003235058.1	K03833	2.2e-79	265.9
GCF_024262185.1	WP_003234370.1	K04103	8.6e-71	237.0
GCF_024262185.1	WP_043857806.1	K06390	6.4e-132	438.0
GCF_024262185.1	WP_019712901.1	K07636	1.8e-125	417.8
GCF_024262185.1	WP_015714188.1	K07657	7.3e-84	279.8
GCF_024262185.1	WP_003230620.1	K16531	1.2e-20	71.6
GCF_024919095.1	WP_003151735.1	K00366	1.7e-83	279.0
GCF_024919095.1	WP_259424950.1	K00372	3.4e-276	916.7
GCF_024919095.1	WP_259425202.1	K01077	3.6e-111	370.7
GCF_024919095.1	WP_033575133.1	K01113	1.6e-167	557.1
GCF_024919095.1	WP_015417720.1	K01505	1.1e-15	55.0
GCF_024919095.1	WP_007410365.1	K01915	1.3e-108	362.2
GCF_024919095.1	WP_259424624.1	K02406	1.4e-137	457.8
GCF_024919095.1	WP_007408775.1	K02556	1.3e-96	321.9
GCF_024919095.1	WP_003154685.1	K02557	1.8e-72	242.6
GCF_024919095.1	WP_259425509.1	K03407	4.8e-225	747.2
GCF_024919095.1	WP_003154238.1	K03413	1.2e-47	160.8
GCF_024919095.1	WP_007410400.1	K03833	2.1e-79	265.8
GCF_024919095.1	WP_259425601.1	K03834	2.3e-20	70.7
GCF_024919095.1	WP_259425601.1	K03837	1.2e-170	565.6
GCF_024919095.1	WP_168985134.1	K04103	1.3e-71	239.6
GCF_024919095.1	WP_007408342.1	K06390	1.3e-130	433.6
GCF_024919095.1	WP_259424375.1	K07636	4.3e-125	416.3
GCF_024919095.1	WP_003153397.1	K07657	1.4e-83	278.7
GCF_024919095.1	WP_088461189.1	K16531	1.8e-17	60.9
GCF_025426155.1	WP_015384634.1	K00366	3.5e-84	281.3
GCF_025426155.1	WP_015382724.1	K00372	7.1e-280	928.9
GCF_025426155.1	WP_015382905.1	K01077	2.7e-113	377.8
GCF_025426155.1	WP_015382673.1	K01113	1.4e-165	550.7
GCF_025426155.1	WP_015383968.1	K01505	9.3e-15	52.0
GCF_025426155.1	WP_003231737.1	K01915	1.8e-107	358.6
GCF_025426155.1	WP_029725988.1	K02406	3.4e-133	443.3
