genome	protein_id	ko	evalue	score	threshold	score_minus_threshold
GCF_002993945.1	WP_020452100.1	K01077	6.100000000000001e-101	337.1	67.97	269.13
GCF_002993945.1	WP_020449993.1	K01113	7.6e-168	558.3	94.03	464.27
GCF_002993945.1	WP_025811550.1	K01915	1.6e-108	362.2	37.7	324.5
GCF_002993945.1	WP_105980594.1	K02013	2.8e-94	314.5	226.0	88.5
GCF_002993945.1	WP_023856248.1	K02016	1.8e-72	242.8	157.77	85.03
GCF_002993945.1	WP_023855209.1	K02036	2.6e-140	465.7	268.53	197.17
GCF_002993945.1	WP_003183532.1	K02037	1.3e-98	329.6	260.07	69.53000000000003
GCF_002993945.1	WP_025811149.1	K02038	8.6e-95	316.5	255.13	61.370000000000005
GCF_002993945.1	WP_023855212.1	K02040	1.3e-76	256.6	55.67	200.93
GCF_002993945.1	WP_025810704.1	K02406	8.7e-134	445.4	135.0	310.4
GCF_002993945.1	WP_020452604.1	K02556	4.6e-95	317.0	97.97	219.03
GCF_002993945.1	WP_020451148.1	K02557	8.500000000000001e-73	243.9	144.87	99.03
GCF_002993945.1	WP_105978901.1	K03407	6.3e-224	743.6	509.2	234.40000000000003
GCF_002993945.1	WP_003181796.1	K03413	2.3999999999999997e-46	156.7	135.0	21.69999999999999
GCF_002993945.1	WP_199792214.1	K06390	1.9e-131	436.4	217.4	219.0
GCF_002993945.1	WP_020452551.1	K07636	1e-123	411.9	327.73	84.16999999999996
GCF_002993945.1	WP_003185730.1	K07692	2.3e-112	372.3	267.17	105.13
GCF_002993945.1	WP_020452888.1	K23188	1.7e-138	460.8	460.43	0.3700000000000045
GCF_003003575.1	WP_044152816.1	K00004	5.8e-141	467.8	376.97	90.82999999999998
GCF_003003575.1	WP_106295882.1	K01077	1.1e-115	385.6	67.97	317.63
GCF_003003575.1	WP_024121509.1	K01915	5.1999999999999995e-107	357.0	37.7	319.3
GCF_003003575.1	WP_106294344.1	K02013	2.6e-113	377.0	226.0	151.0
GCF_003003575.1	WP_044159082.1	K02015	9.5e-106	352.5	343.37	9.129999999999995
GCF_003003575.1	WP_106295665.1	K02016	1.3e-66	223.4	157.77	65.63
GCF_003003575.1	WP_044154551.1	K02036	5e-141	467.9	268.53	199.37
GCF_003003575.1	WP_024122067.1	K02037	1.2e-100	336.0	260.07	75.93
GCF_003003575.1	WP_024122066.1	K02038	8.6e-94	313.0	255.13	57.870000000000005
GCF_003003575.1	WP_044154545.1	K02040	6.1e-77	257.4	55.67	201.73
GCF_003003575.1	WP_024123018.1	K02406	2.5e-128	427.2	135.0	292.2
GCF_003003575.1	WP_044153831.1	K02556	1.9e-95	318.1	97.97	220.13
GCF_003003575.1	WP_059292887.1	K02557	1.1e-71	240.0	144.87	95.13
GCF_003003575.1	WP_044155876.1	K03407	4.0000000000000004e-226	750.7	509.2	241.50000000000009
GCF_003003575.1	WP_010334256.1	K03413	1.4e-47	160.6	135.0	25.599999999999994
GCF_003003575.1	WP_106293713.1	K06390	2.3e-134	445.9	217.4	228.5
GCF_003003575.1	WP_044153891.1	K07636	9.6e-126	418.4	327.73	90.66999999999996
GCF_003003575.1	WP_003219701.1	K07692	6.799999999999999e-113	373.9	267.17	106.72999999999996
GCF_003003575.1	WP_106294943.1	K19549	1.2e-250	828.9	689.47	139.42999999999995
GCF_003003575.1	WP_059335170.1	K19550	4.2e-143	472.8	388.33	84.47000000000003
GCF_003003575.1	WP_024123244.1	K19552	2.1e-255	844.6	730.4	114.20000000000005
GCF_003003575.1	WP_081638363.1	K23188	7.7e-142	471.7	460.43	11.269999999999982
GCF_003003625.1	WP_010787808.1	K00004	2e-137	456.2	376.97	79.22999999999996
GCF_003003625.1	WP_106272891.1	K01077	1.2e-112	375.6	67.97	307.63
GCF_003003625.1	WP_106273141.1	K01113	3.700000000000001e-164	546.0	94.03	451.97
GCF_003003625.1	WP_094232068.1	K01915	2.3e-108	361.5	37.7	323.8
GCF_003003625.1	WP_106271761.1	K02013	5.2e-106	353.0	226.0	127.0
GCF_003003625.1	WP_106272679.1	K02015	2.7e-106	354.3	343.37	10.930000000000009
GCF_003003625.1	WP_106272677.1	K02016	8.4e-67	224.0	157.77	66.22999999999999
GCF_003003625.1	WP_106270984.1	K02036	9.099999999999999e-141	467.1	268.53	198.57000000000005
GCF_003003625.1	WP_004429534.1	K02037	2e-98	328.8	260.07	68.73000000000002
GCF_003003625.1	WP_010789219.1	K02038	4.1999999999999997e-94	314.1	255.13	58.97000000000003
GCF_003003625.1	WP_004429533.1	K02040	2.2e-74	249.1	55.67	193.43
GCF_003003625.1	WP_106272550.1	K02406	3.8e-127	423.4	135.0	288.4
GCF_003003625.1	WP_003327311.1	K02556	3.5999999999999997e-93	310.6	97.97	212.63
GCF_003003625.1	WP_003327312.1	K02557	1.1e-72	243.4	144.87	98.53
GCF_003003625.1	WP_106271552.1	K03407	7.2e-222	736.7	509.2	227.50000000000009
GCF_003003625.1	WP_003328933.1	K03413	2.4e-47	159.9	135.0	24.90000000000001
GCF_003003625.1	WP_003325460.1	K06390	6.7e-133	441.1	217.4	223.7
GCF_003003625.1	WP_088117736.1	K07636	6.8e-123	409.1	327.73	81.37
GCF_003003625.1	WP_003219701.1	K07692	7.1e-113	373.9	267.17	106.72999999999996
GCF_003003625.1	WP_010789882.1	K23188	1.3e-140	467.7	460.43	7.269999999999982
GCF_003003645.1	WP_010787808.1	K00004	2.1e-137	456.2	376.97	79.22999999999996
GCF_003003645.1	WP_106360836.1	K00372	7.5e-275	912.4	909.57	2.8299999999999272
GCF_003003645.1	WP_106360728.1	K01077	4.7e-113	377.1	67.97	309.13
GCF_003003645.1	WP_106360862.1	K01113	1.5e-163	544.1	94.03	450.0700000000001
GCF_003003645.1	WP_094232068.1	K01915	2.4e-108	361.5	37.7	323.8
GCF_003003645.1	WP_106359701.1	K02013	1.7000000000000002e-106	354.7	226.0	128.7
GCF_003003645.1	WP_061669286.1	K02015	2.9e-106	354.3	343.37	10.930000000000009
GCF_003003645.1	WP_094232766.1	K02016	4.7e-67	224.9	157.77	67.13
GCF_003003645.1	WP_061669987.1	K02036	1.7999999999999998e-141	469.5	268.53	200.97000000000003
GCF_003003645.1	WP_106360528.1	K02038	1.1e-93	312.9	255.13	57.76999999999998
GCF_003003645.1	WP_088117587.1	K02040	4.500000000000001e-74	248.1	55.67	192.43
GCF_003003645.1	WP_094232853.1	K02406	2.2999999999999998e-127	424.2	135.0	289.2
GCF_003003645.1	WP_003327311.1	K02556	3.8e-93	310.6	97.97	212.63
GCF_003003645.1	WP_003327312.1	K02557	1.2e-72	243.4	144.87	98.53
GCF_003003645.1	WP_088117166.1	K03407	2.5e-221	735.0	509.2	225.8
GCF_003003645.1	WP_106359593.1	K03413	7.9e-48	161.6	135.0	26.599999999999994
GCF_003003645.1	WP_003325460.1	K06390	7.1e-133	441.1	217.4	223.7
GCF_003003645.1	WP_106360416.1	K07636	7.6e-123	409.0	327.73	81.26999999999998
GCF_003003645.1	WP_003219701.1	K07692	7.5e-113	373.9	267.17	106.72999999999996
GCF_003003645.1	WP_010789882.1	K23188	1.3999999999999999e-140	467.7	460.43	7.269999999999982
GCF_003441635.1	WP_003155800.1	K00004	2e-140	466.0	376.97	89.02999999999997
GCF_003441635.1	WP_003155322.1	K01077	1.2e-110	368.9	67.97	300.92999999999995
GCF_003441635.1	WP_043866804.1	K01113	6.2e-168	558.4	94.03	464.37
GCF_003441635.1	WP_003154048.1	K01915	1.3000000000000001e-108	362.3	37.7	324.6
GCF_003441635.1	WP_043867028.1	K02013	2.2e-109	364.0	226.0	138.0
GCF_003441635.1	WP_072588403.1	K02015	8.300000000000001e-104	346.1	343.37	2.730000000000018
GCF_003441635.1	WP_072588402.1	K02016	1e-68	230.3	157.77	72.53
GCF_003441635.1	WP_003153040.1	K02036	2e-137	456.0	268.53	187.47000000000003
GCF_003441635.1	WP_003153034.1	K02037	9e-98	326.6	260.07	66.53000000000003
GCF_003441635.1	WP_003153036.1	K02038	9.899999999999999e-91	303.0	255.13	47.870000000000005
GCF_003441635.1	WP_003153032.1	K02040	2.8e-76	255.3	55.67	199.63
GCF_003441635.1	WP_007407474.1	K02406	6.699999999999999e-138	458.8	135.0	323.8
GCF_003441635.1	WP_003152386.1	K02556	5.6e-97	323.1	97.97	225.13
GCF_003441635.1	WP_003154685.1	K02557	1.8e-72	242.6	144.87	97.73
GCF_003441635.1	WP_015388231.1	K03407	1.2e-225	749.2	509.2	240.00000000000009
GCF_003441635.1	WP_003154238.1	K03413	1.2e-47	160.8	135.0	25.80000000000001
GCF_003441635.1	WP_196479392.1	K03837	2.1e-170	564.8	526.93	37.870000000000005
GCF_003441635.1	WP_072588446.1	K06390	1.5000000000000001e-130	433.3	217.4	215.9
GCF_003441635.1	WP_015387864.1	K07636	4.6e-126	419.5	327.73	91.76999999999998
GCF_003441635.1	WP_003219701.1	K07692	6.9e-113	373.9	267.17	106.72999999999996
GCF_003441635.1	WP_060387230.1	K19549	4.3000000000000004e-252	833.7	689.47	144.23000000000002
GCF_003441635.1	WP_003151010.1	K19550	6.5e-141	465.6	388.33	77.27000000000004
GCF_003441635.1	WP_003151007.1	K19552	4.4e-257	850.2	730.4	119.80000000000008
GCF_003441635.1	WP_003151820.1	K23188	3.7e-143	476.0	460.43	15.569999999999991
GCF_003667745.1	WP_007408876.1	K00004	2.4e-140	465.9	376.97	88.92999999999995
GCF_003667745.1	WP_021494198.1	K00372	5.1e-277	919.5	909.57	9.92999999999995
GCF_003667745.1	WP_021494911.1	K01077	3.2000000000000002e-111	371.0	67.97	303.03
GCF_003667745.1	WP_021495297.1	K01113	1.6e-167	557.2	94.03	463.1700000000001
GCF_003667745.1	WP_007410365.1	K01915	1.4e-108	362.2	37.7	324.5
GCF_003667745.1	WP_021493796.1	K02013	2.6e-109	363.9	226.0	137.89999999999998
GCF_003667745.1	WP_014721787.1	K02015	2.5e-103	344.6	343.37	1.2300000000000182
GCF_003667745.1	WP_012118415.1	K02016	2e-68	229.4	157.77	71.63
GCF_003667745.1	WP_014418390.1	K02036	5.6e-138	458.0	268.53	189.47000000000003
GCF_003667745.1	WP_007612605.1	K02037	1.1e-97	326.5	260.07	66.43
GCF_003667745.1	WP_007408306.1	K02038	1.8e-91	305.5	255.13	50.370000000000005
GCF_003667745.1	WP_007408304.1	K02040	1.2e-76	256.7	55.67	201.03
GCF_003667745.1	WP_021494094.1	K02406	4.2999999999999994e-139	462.8	135.0	327.8
GCF_003667745.1	WP_003152386.1	K02556	5.999999999999999e-97	323.1	97.97	225.13
GCF_003667745.1	WP_017417652.1	K02557	2.2e-72	242.5	144.87	97.63
GCF_003667745.1	WP_021493681.1	K03407	6.6e-225	746.8	509.2	237.6
GCF_003667745.1	WP_003154238.1	K03413	1.2999999999999998e-47	160.8	135.0	25.80000000000001
GCF_003667745.1	WP_205600435.1	K03837	1.5e-170	565.4	526.93	38.47000000000003
GCF_003667745.1	WP_017418128.1	K06390	1.9000000000000003e-130	433.1	217.4	215.7
GCF_003667745.1	WP_021494433.1	K07636	1.2e-125	418.2	327.73	90.46999999999996
GCF_003667745.1	WP_003219701.1	K07692	7.3e-113	373.9	267.17	106.72999999999996
GCF_003667745.1	WP_021494772.1	K19549	4.8e-252	833.6	689.47	144.13
GCF_003667745.1	WP_021494773.1	K19550	4.7999999999999996e-141	466.2	388.33	77.87
GCF_003667745.1	WP_021494771.1	K19552	3e-257	850.8	730.4	120.39999999999998
GCF_003667745.1	WP_014418835.1	K23188	3.9e-143	476.0	460.43	15.569999999999991
GCF_004006435.1	WP_024120423.1	K00004	5.1999999999999996e-141	468.0	376.97	91.02999999999996
GCF_004006435.1	WP_127696022.1	K00372	6.5e-279	925.8	909.57	16.229999999999905
GCF_004006435.1	WP_127695865.1	K01077	8.799999999999999e-116	386.0	67.97	318.03
GCF_004006435.1	WP_127696073.1	K01113	3.2000000000000004e-164	546.3	94.03	452.27
GCF_004006435.1	WP_024121509.1	K01915	5.7e-107	357.0	37.7	319.3
GCF_004006435.1	WP_127695384.1	K02013	2.3999999999999998e-113	377.2	226.0	151.2
GCF_004006435.1	WP_127696485.1	K02015	3.2e-106	354.1	343.37	10.730000000000018
GCF_004006435.1	WP_127696484.1	K02016	5.899999999999999e-68	227.9	157.77	70.13
GCF_004006435.1	WP_024122064.1	K02036	6.9e-142	470.8	268.53	202.27000000000004
GCF_004006435.1	WP_024122067.1	K02037	1.4e-100	336.0	260.07	75.93
GCF_004006435.1	WP_127696764.1	K02038	3.2999999999999997e-93	311.2	255.13	56.06999999999999
GCF_004006435.1	WP_024122068.1	K02040	5.4e-77	257.7	55.67	202.03
GCF_004006435.1	WP_106019634.1	K02406	3.8999999999999995e-129	430.0	135.0	295.0
GCF_004006435.1	WP_024122512.1	K02556	1.6e-95	318.4	97.97	220.43
GCF_004006435.1	WP_024121173.1	K02557	1.2e-71	240.0	144.87	95.13
GCF_004006435.1	WP_106020713.1	K03407	3.7e-226	750.9	509.2	241.7
GCF_004006435.1	WP_010334256.1	K03413	1.4999999999999998e-47	160.6	135.0	25.599999999999994
GCF_004006435.1	WP_024122021.1	K06390	4.4e-134	445.0	217.4	227.6
GCF_004006435.1	WP_106020250.1	K07636	2.4e-125	417.2	327.73	89.46999999999997
GCF_004006435.1	WP_003219701.1	K07692	7.4e-113	373.9	267.17	106.72999999999996
GCF_004006435.1	WP_024123243.1	K19549	3.2e-250	827.6	689.47	138.13
GCF_004006435.1	WP_105954423.1	K19550	4.9e-143	472.7	388.33	84.37
GCF_004006435.1	WP_024123244.1	K19552	2.3e-255	844.6	730.4	114.20000000000005
GCF_004006435.1	WP_081638363.1	K23188	8.3e-142	471.7	460.43	11.269999999999982
GCF_004116955.1	WP_010329049.1	K00004	5e-140	464.8	376.97	87.82999999999998
GCF_004116955.1	WP_010331339.1	K00372	6.7e-282	935.7	909.57	26.129999999999995
GCF_004116955.1	WP_010331132.1	K01077	3.7e-117	390.7	67.97	322.73
GCF_004116955.1	WP_010331406.1	K01113	3.2999999999999996e-166	552.9	94.03	458.87
GCF_004116955.1	WP_010328577.1	K01915	5.8e-108	360.3	37.7	322.6
GCF_004116955.1	WP_010330477.1	K02013	5.9e-114	379.3	226.0	153.3
GCF_004116955.1	WP_010330049.1	K02015	1.4e-106	355.4	343.37	12.029999999999973
GCF_004116955.1	WP_010330050.1	K02016	2.6e-68	229.1	157.77	71.32999999999998
GCF_004116955.1	WP_026014432.1	K02036	8.4e-142	470.6	268.53	202.07000000000005
GCF_004116955.1	WP_010328220.1	K02037	4.6e-100	334.3	260.07	74.23000000000002
GCF_004116955.1	WP_010328221.1	K02038	4.3e-94	314.2	255.13	59.06999999999999
GCF_004116955.1	WP_010328219.1	K02040	4.3e-77	258.1	55.67	202.43
GCF_004116955.1	WP_010328745.1	K02406	6e-127	422.8	135.0	287.8
GCF_004116955.1	WP_010329592.1	K02556	8.7e-96	319.3	97.97	221.33
GCF_004116955.1	WP_041952540.1	K02557	5.6e-71	237.9	144.87	93.03
GCF_004116955.1	WP_010331082.1	K03407	2.6e-225	748.2	509.2	239.00000000000009
GCF_004116955.1	WP_010331092.1	K03413	5.5e-47	158.8	135.0	23.80000000000001
GCF_004116955.1	WP_010328279.1	K06390	1.7000000000000002e-133	443.1	217.4	225.7
GCF_004116955.1	WP_010329692.1	K07636	4.899999999999999e-127	422.9	327.73	95.16999999999996
GCF_004116955.1	WP_003219701.1	K07692	7.6e-113	373.9	267.17	106.72999999999996
GCF_004116955.1	WP_010328993.1	K19549	2.9999999999999997e-248	821.2	689.47	131.73000000000002
GCF_004116955.1	WP_010328992.1	K19550	1e-141	468.4	388.33	80.07
GCF_004116955.1	WP_026014463.1	K19552	2.6000000000000002e-253	837.9	730.4	107.5
GCF_004116955.1	WP_082246356.1	K23188	6.6e-142	472.0	460.43	11.569999999999991
GCF_004328925.1	WP_003234015.1	K00004	1.5e-141	469.8	376.97	92.82999999999998
GCF_004328925.1	WP_131227095.1	K00372	3e-279	927.0	909.57	17.42999999999995
GCF_004328925.1	WP_131227262.1	K01077	4.2e-113	377.2	67.97	309.23
GCF_004328925.1	WP_131227084.1	K01113	2.7000000000000002e-165	549.8	94.03	455.77
GCF_004328925.1	WP_015252037.1	K01915	3.6e-107	357.7	37.7	320.0
GCF_004328925.1	WP_131227360.1	K02013	1.6e-115	384.4	226.0	158.39999999999998
GCF_004328925.1	WP_046381317.1	K02015	1.6999999999999998e-105	351.8	343.37	8.430000000000007
GCF_004328925.1	WP_003243040.1	K02016	1.4999999999999998e-68	229.8	157.77	72.03
GCF_004328925.1	WP_014480273.1	K02036	3.9999999999999994e-142	471.7	268.53	203.17
GCF_004328925.1	WP_014477352.1	K02037	1.6e-100	335.8	260.07	75.73000000000002
GCF_004328925.1	WP_029317900.1	K02038	2.7e-94	314.9	255.13	59.76999999999998
GCF_004328925.1	WP_017696171.1	K02040	2.2e-77	259.1	55.67	203.43
GCF_004328925.1	WP_021480711.1	K02406	1.4000000000000001e-126	421.6	135.0	286.6
GCF_004328925.1	WP_015714528.1	K02556	1.5e-94	315.2	97.97	217.23
GCF_004328925.1	WP_131227367.1	K02557	4.4e-72	241.6	144.87	96.73
GCF_004328925.1	WP_131227422.1	K03407	4.0000000000000004e-225	747.6	509.2	238.40000000000003
GCF_004328925.1	WP_014476812.1	K03413	5.7e-48	162.1	135.0	27.099999999999994
GCF_004328925.1	WP_003230226.1	K06390	4.7e-132	438.4	217.4	221.0
GCF_004328925.1	WP_131227831.1	K07636	1.7000000000000001e-125	417.8	327.73	90.07
GCF_004328925.1	WP_003219701.1	K07692	7.7e-113	373.9	267.17	106.72999999999996
GCF_004328925.1	WP_131228211.1	K19549	3.3e-253	837.5	689.47	148.02999999999997
GCF_004328925.1	WP_131228210.1	K19550	6.400000000000001e-144	475.6	388.33	87.27000000000004
GCF_004328925.1	WP_080529927.1	K19552	1.0999999999999999e-256	849.1	730.4	118.70000000000005
GCF_004328925.1	WP_010886609.1	K23188	8.6e-142	471.7	460.43	11.269999999999982
GCF_004378445.1	WP_007408876.1	K00004	2.2e-140	465.9	376.97	88.92999999999995
GCF_004378445.1	WP_029973912.1	K00372	1.4e-276	918.0	909.57	8.42999999999995
GCF_004378445.1	WP_017417347.1	K01077	1.9e-111	371.6	67.97	303.63
GCF_004378445.1	WP_029973941.1	K01113	2.5e-168	559.7	94.03	465.6700000000001
GCF_004378445.1	WP_007410365.1	K01915	1.3000000000000001e-108	362.2	37.7	324.5
GCF_004378445.1	WP_029974684.1	K02013	6.3e-110	365.8	226.0	139.8
GCF_004378445.1	WP_014721787.1	K02015	2.4e-103	344.6	343.37	1.2300000000000182
GCF_004378445.1	WP_014418855.1	K02016	4.7e-68	228.1	157.77	70.32999999999998
GCF_004378445.1	WP_014418390.1	K02036	5.2999999999999997e-138	458.0	268.53	189.47000000000003
GCF_004378445.1	WP_014418391.1	K02037	1.1e-97	326.3	260.07	66.23000000000002
GCF_004378445.1	WP_007408306.1	K02038	1.6999999999999999e-91	305.5	255.13	50.370000000000005
GCF_004378445.1	WP_007408304.1	K02040	1.1e-76	256.7	55.67	201.03
GCF_004378445.1	WP_021494094.1	K02406	4.0999999999999994e-139	462.8	135.0	327.8
GCF_004378445.1	WP_007408775.1	K02556	1.2999999999999999e-96	321.9	97.97	223.93
GCF_004378445.1	WP_017417652.1	K02557	2.0000000000000002e-72	242.5	144.87	97.63
GCF_004378445.1	WP_029973461.1	K03407	1.1e-224	746.0	509.2	236.8
GCF_004378445.1	WP_003154238.1	K03413	1.2e-47	160.8	135.0	25.80000000000001
GCF_004378445.1	WP_199768232.1	K03837	1.6000000000000002e-170	565.2	526.93	38.270000000000095
GCF_004378445.1	WP_017418128.1	K06390	1.8e-130	433.1	217.4	215.7
GCF_004378445.1	WP_029973338.1	K07636	8.7e-126	418.6	327.73	90.87
GCF_004378445.1	WP_003219701.1	K07692	6.9e-113	373.9	267.17	106.72999999999996
GCF_004378445.1	WP_021494772.1	K19549	4.600000000000001e-252	833.6	689.47	144.13
GCF_004378445.1	WP_021494773.1	K19550	4.5e-141	466.2	388.33	77.87
GCF_004378445.1	WP_029972889.1	K19552	4.6e-257	850.1	730.4	119.70000000000005
GCF_004378445.1	WP_014418835.1	K23188	3.7e-143	476.0	460.43	15.569999999999991
GCF_004563755.2	WP_008342621.1	K00004	2.2e-140	465.9	376.97	88.92999999999995
GCF_004563755.2	WP_135009145.1	K00372	1.3e-278	924.7	909.57	15.129999999999995
GCF_004563755.2	WP_096881187.1	K01077	2e-107	358.4	67.97	290.42999999999995
GCF_004563755.2	WP_007499421.1	K01915	2.3e-108	361.5	37.7	323.8
GCF_004563755.2	WP_135009475.1	K02013	8.9e-118	391.7	226.0	165.7
GCF_004563755.2	WP_135009692.1	K02015	4.1e-106	353.7	343.37	10.329999999999984
GCF_004563755.2	WP_135009691.1	K02016	1.6e-67	226.4	157.77	68.63
GCF_004563755.2	WP_017367606.1	K02036	3.7e-139	461.8	268.53	193.27000000000004
GCF_004563755.2	WP_017357999.1	K02037	2.5e-96	321.9	260.07	61.829999999999984
GCF_004563755.2	WP_007501259.1	K02038	5.699999999999999e-96	320.3	255.13	65.17000000000002
GCF_004563755.2	WP_017367609.1	K02040	1.6e-75	252.8	55.67	197.13
GCF_004563755.2	WP_041092274.1	K02406	6.799999999999999e-129	429.1	135.0	294.1
GCF_004563755.2	WP_008346088.1	K02556	2.1e-92	308.1	97.97	210.13
GCF_004563755.2	WP_024719648.1	K02557	6.6e-70	234.3	144.87	89.43
GCF_004563755.2	WP_024720362.1	K03407	5.899999999999999e-226	750.2	509.2	241.00000000000009
GCF_004563755.2	WP_003212360.1	K03413	4e-47	159.2	135.0	24.19999999999999
GCF_004563755.2	WP_024718857.1	K06390	1.8e-133	443.0	217.4	225.6
GCF_004563755.2	WP_017358268.1	K07636	1.3000000000000002e-124	414.8	327.73	87.07
GCF_004563755.2	WP_008348273.1	K07692	5.2e-113	374.3	267.17	107.13
GCF_004563755.2	WP_186365897.1	K19549	2.1e-224	742.5	689.47	53.02999999999997
GCF_004563755.2	WP_328593038.1	K19550	2.5e-131	434.3	388.33	45.97000000000003
GCF_004563755.2	WP_008347057.1	K23188	3.5e-140	466.2	460.43	5.769999999999982
GCF_005234095.1	WP_086343528.1	K00004	2.1999999999999998e-141	469.3	376.97	92.32999999999998
GCF_005234095.1	WP_128737487.1	K00372	2.7e-280	930.3	909.57	20.729999999999905
GCF_005234095.1	WP_080009778.1	K01077	2.9e-113	377.7	67.97	309.73
GCF_005234095.1	WP_014475691.1	K01113	1.6e-165	550.5	94.03	456.47
GCF_005234095.1	WP_003231737.1	K01915	1.8e-107	358.6	37.7	320.90000000000003
GCF_005234095.1	WP_134982463.1	K02013	4.4999999999999996e-116	386.2	226.0	160.2
GCF_005234095.1	WP_086344301.1	K02015	1.6e-105	351.8	343.37	8.430000000000007
GCF_005234095.1	WP_086344302.1	K02016	9.1e-70	233.8	157.77	76.03
GCF_005234095.1	WP_014480273.1	K02036	3.8e-142	471.7	268.53	203.17
GCF_005234095.1	WP_015714268.1	K02037	1.8e-100	335.6	260.07	75.53000000000003
GCF_005234095.1	WP_003230103.1	K02038	1.9e-94	315.3	255.13	60.170000000000016
GCF_005234095.1	WP_014477353.1	K02040	3e-77	258.5	55.67	202.83
GCF_005234095.1	WP_032726957.1	K02406	9.5e-131	435.3	135.0	300.3
GCF_005234095.1	WP_014477672.1	K02556	1.8e-94	315.0	97.97	217.03
GCF_005234095.1	WP_003232473.1	K02557	4.2e-72	241.5	144.87	96.63
GCF_005234095.1	WP_015483230.1	K03407	2.8e-225	748.0	509.2	238.8
GCF_005234095.1	WP_014476812.1	K03413	5.4e-48	162.1	135.0	27.099999999999994
GCF_005234095.1	WP_086344072.1	K06390	4.5e-132	438.4	217.4	221.0
GCF_005234095.1	WP_134982329.1	K07636	4.2000000000000005e-125	416.4	327.73	88.66999999999996
GCF_005234095.1	WP_003219701.1	K07692	7.3e-113	373.9	267.17	106.72999999999996
GCF_005234095.1	WP_003242568.1	K19549	1.7e-254	841.6	689.47	152.13
GCF_005234095.1	WP_029726228.1	K19550	4.2e-144	476.2	388.33	87.87
GCF_005234095.1	WP_080529927.1	K19552	1e-256	849.1	730.4	118.70000000000005
GCF_005234095.1	WP_010886609.1	K23188	8.2e-142	471.7	460.43	11.269999999999982
GCF_008831405.1	WP_003234015.1	K00004	1.5e-141	469.8	376.97	92.82999999999998
GCF_008831405.1	WP_038427346.1	K00372	6.3e-281	932.5	909.57	22.92999999999995
GCF_008831405.1	WP_072692869.1	K01077	4.7e-113	377.0	67.97	309.03
GCF_008831405.1	WP_038427315.1	K01113	9.9e-166	551.3	94.03	457.27
GCF_008831405.1	WP_015252037.1	K01915	3.5e-107	357.7	37.7	320.0
GCF_008831405.1	WP_029727026.1	K02013	2.6e-115	383.7	226.0	157.7
GCF_008831405.1	WP_009968147.1	K02015	2.5e-105	351.2	343.37	7.829999999999984
GCF_008831405.1	WP_003243040.1	K02016	1.4999999999999998e-68	229.8	157.77	72.03
GCF_008831405.1	WP_014480273.1	K02036	3.8999999999999996e-142	471.7	268.53	203.17
GCF_008831405.1	WP_015714268.1	K02037	1.8e-100	335.6	260.07	75.53000000000003
GCF_008831405.1	WP_003230103.1	K02038	1.9e-94	315.3	255.13	60.170000000000016
GCF_008831405.1	WP_029726710.1	K02040	1.7e-77	259.4	55.67	203.73
GCF_008831405.1	WP_029725988.1	K02406	3.6e-133	443.3	135.0	308.3
GCF_008831405.1	WP_014477672.1	K02556	1.8e-94	315.0	97.97	217.03
GCF_008831405.1	WP_003232473.1	K02557	4.3e-72	241.5	144.87	96.63
GCF_008831405.1	WP_014476817.1	K03407	2.5e-225	748.2	509.2	239.00000000000009
GCF_008831405.1	WP_014476812.1	K03413	5.5e-48	162.1	135.0	27.099999999999994
GCF_008831405.1	WP_032722103.1	K06390	3.8e-132	438.7	217.4	221.3
GCF_008831405.1	WP_029726381.1	K07636	6.900000000000001e-125	415.8	327.73	88.07
GCF_008831405.1	WP_003219701.1	K07692	7.4e-113	373.9	267.17	106.72999999999996
GCF_008831405.1	WP_038427998.1	K19549	4.7e-254	840.2	689.47	150.73000000000002
GCF_008831405.1	WP_038427997.1	K19550	2.4e-144	477.0	388.33	88.67000000000002
GCF_008831405.1	WP_014481236.1	K19552	5.899999999999999e-257	849.9	730.4	119.5
GCF_008831405.1	WP_010886609.1	K23188	8.4e-142	471.7	460.43	11.269999999999982
GCF_012955605.1	WP_170008294.1	K01077	3.9000000000000004e-98	327.3	67.97	259.33000000000004
GCF_012955605.1	WP_170007272.1	K01915	5.3e-108	359.9	37.7	322.2
GCF_012955605.1	WP_170007555.1	K02013	5.7e-103	342.6	226.0	116.60000000000002
GCF_012955605.1	WP_170006210.1	K02016	2.2e-48	163.0	157.77	5.22999999999999
GCF_012955605.1	WP_170007673.1	K02036	1.6e-142	472.5	268.53	203.97000000000003
GCF_012955605.1	WP_170007675.1	K02037	5.2000000000000004e-108	360.1	260.07	100.03000000000004
GCF_012955605.1	WP_170007674.1	K02038	2.3e-97	324.5	255.13	69.37
GCF_012955605.1	WP_170007676.1	K02040	6.600000000000001e-78	260.3	55.67	204.63
GCF_012955605.1	WP_170008372.1	K02556	6.9e-94	312.6	97.97	214.63
GCF_012955605.1	WP_170007949.1	K02557	1.3e-74	249.4	144.87	104.53
GCF_012955605.1	WP_170007394.1	K03407	2.3000000000000004e-224	744.6	509.2	235.40000000000003
GCF_012955605.1	WP_170007404.1	K03413	9.7e-47	157.5	135.0	22.5
GCF_012955605.1	WP_170007253.1	K03833	2.4000000000000004e-130	434.0	304.43	129.57
GCF_012955605.1	WP_170007624.1	K06390	1.6e-124	413.2	217.4	195.8
