Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits
GCF_023516415.1	Bacillus cereus	Complete Genome	current	5743905	3	SAMN28410860	oil contaminated soil	China:Tianjin		non_saline_candidate	
GCF_024498915.1	Bacillus cereus	Complete Genome	current	5469923	4	SAMN25084267	soil	China:Gansu province		non_saline_candidate	
GCF_024584625.1	Bacillus cereus	Complete Genome	current	5329997	2	SAMN23575618	soil	China: Ziya Circular Economy Park		non_saline_candidate	
GCF_025502485.1	Bacillus cereus	Complete Genome	current	6093380	3	SAMN30959809	soil	South Korea:Buyeo		non_saline_candidate	
GCF_025917685.1	Bacillus cereus	Complete Genome	current	5226893	1	SAMN23897437	soil	China: Beijing		non_saline_candidate	
GCF_029866405.1	Bacillus cereus	Scaffold	current	5101470	52	SAMN34240619	soil	China: Nanjing		non_saline_candidate	
GCF_030067855.1	Bacillus cereus	Complete Genome	current	5797334	3	SAMN35055521	soil	Namibia: Etosha	not applicable	non_saline_candidate	
GCF_030067875.1	Bacillus cereus	Complete Genome	current	5364591	2	SAMN35055520	soil	Namibia: Etosha	not applicable	non_saline_candidate	
GCF_030291955.1	Bacillus cereus	Complete Genome	current	5332520	3	SAMN34374863	grassland soil	Denmark: Jaegersborg Dyrehave		non_saline_candidate	
GCF_030291975.1	Bacillus cereus	Chromosome	current	5761955	5	SAMN34374869	grassland soil	Denmark: Jaegersborg Dyrehave		non_saline_candidate	
GCF_030412285.1	Bacillus cereus	Scaffold	current	5569359	40	SAMN35999014	rhizosphere	Brazil: Iranduba, Manaus		non_saline_candidate	
GCF_031216075.1	Bacillus cereus	Complete Genome	current	5765658	6	SAMN24582794	root surface	Israel	Moringa oleifera	non_saline_candidate	
GCF_032145515.1	Bacillus cereus	Complete Genome	current	5638441	3	SAMN36942558		South Korea	Plant	non_saline_candidate	
GCF_032670505.1	Bacillus cereus	Scaffold	current	5257066	58	SAMN37322362	soil	Thailand		non_saline_candidate	
GCF_034078685.1	Bacillus cereus	Complete Genome	current	6097808	2	SAMN38257993	soil	China		non_saline_candidate	
GCF_040210495.1	Bacillus cereus	Complete Genome	current	5772068	5	SAMN41661183	soil	China:Shanghai		non_saline_candidate	
GCF_040268315.1	Bacillus cereus	Complete Genome	current	5395922	2	SAMN41860332	soil	China: Hubei		non_saline_candidate	
GCF_040937925.1	Bacillus cereus	Complete Genome	current	5806667	4	SAMN42341497	tobacco rhizosphere soil	China: Enshi	soil	non_saline_candidate	
GCF_040959295.1	Bacillus cereus	Complete Genome	current	6175153	5	SAMN42602167	soil	China: Fuyu		non_saline_candidate	
GCF_050510835.1	Bacillus cereus	Scaffold	current	4883650	69	SAMN48155366	rhizosphere	China:Yunnan	Zea mays	non_saline_candidate	
GCF_050510875.1	Bacillus cereus	Scaffold	current	5631616	74	SAMN48155365	rhizosphere	China:Shandong	Zea mays	non_saline_candidate	
GCF_052122615.1	Bacillus cereus	Complete Genome	current	5645515	3	SAMN50572158	soil	China:Xinjiang		non_saline_candidate	
GCF_053291905.1	Bacillus cereus	Complete Genome	current	5786006	2	SAMN50033524	Cypress rhizosphere soil	China:Beijing		non_saline_candidate	
GCF_054850195.1	Bacillus cereus	Complete Genome	current	5389775	1	SAMN54727843	rhizosphere soil of rice	China:Changsha		non_saline_candidate	
GCF_055388895.1	Bacillus cereus	Complete Genome	current	6107042	7	SAMD01611175	soil	Japan		non_saline_candidate	
GCF_055793445.1	Bacillus cereus	Complete Genome	current	5905554	6	SAMN54896198	rhizosphere soil of tea plant	China		non_saline_candidate	
GCF_002224345.1	Bacillus cereus C1L	Complete Genome	current	6047547	4	SAMN07357037	rhizosphere	Taiwan: Taroko National Park, Hualien		non_saline_candidate	
GCF_045287585.1	Bacillus cereus ATCC 14579	Complete Genome	current	5444563	2	SAMN38051912	soil	unknown		non_saline_candidate	
GCF_056110205.1	Bacillus cereus	Complete Genome	current	5422972	1	SAMN54472062	soil	China: Beijing		non_saline_candidate	
GCF_056431345.1	Bacillus cereus	Scaffold	current	5703351	38	SAMN54756674	root	China: Baoding	Ambrosia artemisiifolia	non_saline_candidate	
GCF_000504145.1	Bacillus cihuensis	Scaffold	current	5443019	43	SAMN02469794	soil sample from grass	China: Fujian		non_saline_candidate	
GCF_050524305.1	Bacillus cereus group sp. IBL03679	Scaffold	current	6908876	28	SAMN48098167	soil	USA: Maryland, Clarksburg		non_saline_candidate	
GCF_001278705.1	Bacillus gobiensis	Chromosome	current	4597707	4	SAMN04009091	soil	China:Jiangxi		non_saline_candidate	
GCF_001637525.1	Bacillus halotolerans	Scaffold	current	4090772	5	SAMN04544317	soil	Germany		non_saline_candidate	
GCF_001642595.1	Bacillus licheniformis	Scaffold	current	4154962	28	SAMN04395482	soil	Czech Republic:Nerartovice		non_saline_candidate	
GCF_001969855.1	Bacillus haynesii	Scaffold	current	4378519	77	SAMN06102002	soil	Israel: Evolution canyon, arroyo at canyon bottom		non_saline_candidate	
GCF_002998215.1	Bacillus halotolerans	Scaffold	current	4081660	35	SAMN08634194	soil	China: Tibet		non_saline_candidate	
GCF_002998275.1	Bacillus halotolerans	Scaffold	current	4170205	26	SAMN08634207	soil	China: Tibet		non_saline_candidate	
GCF_013349925.1	Bacillus glycinifermentans	Scaffold	current	4700692	84	SAMN12124961	soil	Pakistan: Karachi		non_saline_candidate	
GCF_016093395.1	Bacillus halotolerans	Chromosome	current	4087194	2	SAMN17013070	Geothermal soil	USA: Wyoming	Pisolithus arhizus	non_saline_candidate	
GCF_016767285.1	Bacillus halotolerans	Scaffold	current	4054787	11	SAMN16949413	roots, endophytic	Greece: Agricultural University of Athens	Nigella sativa	non_saline_candidate	
GCF_019598985.1	Bacillus inaquosorum	Chromosome	current	4136264	1	SAMN20567150	Rhizospheric soil from Cenchrus ciliaris	Pakistan: Cholistan desert, Bahawalpur	Cenchrus ciliaris	non_saline_candidate	
GCF_023022945.1	Bacillus glycinifermentans	Complete Genome	current	4346570	1	SAMN27512390	Chernozemic soil	Russia: Kazan		non_saline_candidate	
GCF_024266605.1	Bacillus halotolerans	Complete Genome	current	4095140	1	SAMN29515135	soil	China:Beijing		non_saline_candidate	
GCF_024266645.1	Bacillus halotolerans	Complete Genome	current	4280526	1	SAMN29515286	American ginseng Root	China:Shandong		non_saline_candidate	
GCF_024510645.1	Bacillus halotolerans	Complete Genome	current	4141155	1	SAMN29930872	soil	China:Shandong		non_saline_candidate	
GCF_026013885.1	Bacillus halotolerans	Complete Genome	current	4175808	1	SAMN31494998		China: Baoding	plant	non_saline_candidate	
GCF_026793205.1	Bacillus inaquosorum	Scaffold	current	4175854	35	SAMN25999702	soil	not collected		non_saline_candidate	
GCF_026793275.1	Bacillus inaquosorum	Scaffold	current	4149635	48	SAMN25999701	soil	not collected		non_saline_candidate	
GCF_026793285.1	Bacillus inaquosorum	Scaffold	current	4340953	56	SAMN25999700	soil	not collected		non_saline_candidate	
GCF_026793495.1	Bacillus inaquosorum	Scaffold	current	4215618	29	SAMN25999687	soil	not collected		non_saline_candidate	
GCF_026793525.1	Bacillus inaquosorum	Scaffold	current	4209366	22	SAMN25999688	soil	not collected		non_saline_candidate	
GCF_026793575.1	Bacillus inaquosorum	Scaffold	current	4161260	35	SAMN25999686	soil	not collected		non_saline_candidate	
GCF_026793595.1	Bacillus inaquosorum	Scaffold	current	4181036	24	SAMN25999682	soil	not collected		non_saline_candidate	
GCF_026793655.1	Bacillus inaquosorum	Scaffold	current	4148467	14	SAMN25999683	soil	not collected		non_saline_candidate	
GCF_026793695.1	Bacillus inaquosorum	Scaffold	current	4178786	26	SAMN25999680	soil	not collected		non_saline_candidate	
GCF_026794505.1	Bacillus halotolerans	Scaffold	current	4015135	82	SAMN25999655	soil	not collected		non_saline_candidate	
GCF_026967595.1	Bacillus halotolerans	Complete Genome	current	4404030	2	SAMN32106085	Sweet potato rhizosphere soil	China:Shandong		non_saline_candidate	
GCF_030123205.1	Bacillus halotolerans	Complete Genome	current	4252134	1	SAMN34374967	rhizosphere soil	China: Longnan, Gansu Province		non_saline_candidate	
GCF_030128945.2	Bacillus inaquosorum	Complete Genome	current	4200707	1	SAMN35027563	soil	Mexico: Reynosa		non_saline_candidate	
GCF_030167075.1	Bacillus halotolerans	Complete Genome	current	4091749	1	SAMN34374898	semidesertic area with dry sandy soils, around 15 cm from the trunk of a peach tree (5 cm deep)	Mexico: Tehuacan, Puebla		non_saline_candidate	
GCF_030292055.1	Bacillus halotolerans	Complete Genome	current	4223135	2	SAMN34374963	rhizosphere soil	China: Kaifeng, Henan Province		non_saline_candidate	
GCF_030418985.1	Bacillus glycinifermentans	Complete Genome	current	4651579	1	SAMN36290609	soil	South Korea:Gochang		non_saline_candidate	
GCF_032763365.1	Bacillus halotolerans	Complete Genome	current	4155130	1	SAMN37729246	endophyte from hree year continuous cropping of potato root	China: Inner Mongolia	potato	non_saline_candidate	
GCF_033568485.1	Bacillus halotolerans	Complete Genome	current	4208811	1	SAMN36977584	soil	China: Inner Mongolia		non_saline_candidate	
GCF_035804155.1	Bacillus halotolerans	Scaffold	current	4154375	41	SAMN32927361	soil	Israel: Evolution Canyon		non_saline_candidate	
GCF_035804175.1	Bacillus halotolerans	Scaffold	current	4007909	24	SAMN32927356	soil	Israel: Evolution Canyon		non_saline_candidate	
GCF_035809715.1	Bacillus haynesii	Scaffold	current	4373622	30	SAMN33940568	soil	USA		non_saline_candidate	
GCF_035809735.1	Bacillus haynesii	Scaffold	current	4367096	52	SAMN33940567	soil	USA		non_saline_candidate	
GCF_035809775.1	Bacillus haynesii	Scaffold	current	4505041	48	SAMN33940565	soil	USA		non_saline_candidate	
GCF_035809795.1	Bacillus haynesii	Scaffold	current	4343280	38	SAMN33940563	soil	USA		non_saline_candidate	
GCF_035809835.1	Bacillus haynesii	Scaffold	current	4429214	39	SAMN33940562	soil	USA		non_saline_candidate	
GCF_035809855.1	Bacillus haynesii	Scaffold	current	4270503	27	SAMN33940561	soil	USA		non_saline_candidate	
GCF_035809875.1	Bacillus haynesii	Scaffold	current	4205925	25	SAMN33940560	soil	USA		non_saline_candidate	
GCF_035809895.1	Bacillus haynesii	Scaffold	current	4251728	23	SAMN33940559	soil	USA		non_saline_candidate	
GCF_035809915.1	Bacillus haynesii	Scaffold	current	4329818	21	SAMN33940558	soil	USA		non_saline_candidate	
GCF_035809935.1	Bacillus haynesii	Scaffold	current	4205414	22	SAMN33940557	soil	USA		non_saline_candidate	
GCF_035809955.1	Bacillus haynesii	Scaffold	current	4367995	33	SAMN33940555	soil	USA		non_saline_candidate	
GCF_035809975.1	Bacillus haynesii	Scaffold	current	4342338	21	SAMN33940556	soil	USA		non_saline_candidate	
GCF_035810015.1	Bacillus haynesii	Scaffold	current	4291832	27	SAMN33940554	soil	USA		non_saline_candidate	
GCF_035810455.1	Bacillus haynesii	Scaffold	current	4223925	22	SAMN33940530	soil	USA		non_saline_candidate	
GCF_035810475.1	Bacillus haynesii	Scaffold	current	4295028	28	SAMN33940531	soil	USA		non_saline_candidate	
GCF_035810495.1	Bacillus haynesii	Scaffold	current	4333688	54	SAMN33940529	soil	USA		non_saline_candidate	
GCF_035810535.1	Bacillus haynesii	Scaffold	current	4253588	28	SAMN33940528	soil	USA		non_saline_candidate	
GCF_035810555.1	Bacillus haynesii	Scaffold	current	4504050	23	SAMN33940527	soil	USA		non_saline_candidate	
GCF_035810695.1	Bacillus halotolerans	Scaffold	current	4263762	45	SAMN33940518	soil	USA		non_saline_candidate	
GCF_035810705.1	Bacillus halotolerans	Scaffold	current	4079517	28	SAMN33940519	soil	USA		non_saline_candidate	
GCF_035810855.1	Bacillus halotolerans	Scaffold	current	3988357	38	SAMN33940511	soil	Tunisia		non_saline_candidate	
GCF_035811155.1	Bacillus halotolerans	Scaffold	current	4244191	45	SAMN33940496	soil	USA		non_saline_candidate	
GCF_035818335.1	Bacillus glycinifermentans	Scaffold	current	4357213	21	SAMN33940747	soil	not collected		non_saline_candidate	
GCF_035822595.1	Bacillus halotolerans	Scaffold	current	4216228	31	SAMN33940736	soil	India		non_saline_candidate	
GCF_035823075.1	Bacillus inaquosorum	Scaffold	current	4196007	35	SAMN33940724	soil	USA		non_saline_candidate	
GCF_036210455.1	Bacillus inaquosorum	Scaffold	current	4172692	23	SAMN32927353	soil	Israel: Evolution Canyon		non_saline_candidate	
GCF_040256795.1	Bacillus halotolerans	Chromosome	current	4214739	28	SAMN41599398	rhizosphere	Morocco	Olea europaea	non_saline_candidate	
GCF_041222785.1	Bacillus halotolerans	Complete Genome	current	4220890	1	SAMN43028438	rhizosphere soil	China: Weinan town, Shaanxi Province		non_saline_candidate	
GCF_047302545.1	Bacillus inaquosorum	Complete Genome	current	4245627	1	SAMN44627544	root	USA:Tucson	Lactuca serriola	non_saline_candidate	
GCF_050465465.1	Bacillus haynesii	Scaffold	current	4237536	24	SAMN41009149	soil	USA: Death Valley, California		non_saline_candidate	
GCF_050465925.1	Bacillus inaquosorum	Scaffold	current	4184892	31	SAMN41009136	soil	Not Collected		non_saline_candidate	
GCF_051788185.1	Bacillus halotolerans	Complete Genome	current	4194164	1	SAMN50046656	soil	China:Xinjiang		non_saline_candidate	
GCF_056393665.1	Bacillus halotolerans	Complete Genome	current	4092381	19	SAMN53136408	Changbai Mountain, forest humus soil	China:Jilin		non_saline_candidate	
GCF_056493705.1	Bacillus halotolerans	Complete Genome	current	4250820	1	SAMN56707214	soil	China: Xihe	environment	non_saline_candidate	
GCF_056519215.1	Bacillus halotolerans	Complete Genome	current	4072052	1	SAMN56607861	rhizosphere	Russia: Tatarstan, Vysokogorsky region		non_saline_candidate	
GCF_056833915.1	Bacillus halotolerans	Complete Genome	current	4223498	1	SAMN47806620	soil	China: Shandong, Zibo	Rhizopus	non_saline_candidate	
GCF_000724485.1	Bacillus methanolicus MGA3	Complete Genome	current	3425208	3	SAMN02899989	soil sample, enrichment culture methanol as carbon source	USA: Minnesota area		non_saline_candidate	
GCF_007855455.1	Bacillus licheniformis	Complete Genome	current	4201713	1	SAMN12368592	soil	South Korea		non_saline_candidate	
GCF_023278615.1	Bacillus methanolicus	Complete Genome	current	3560650	2	SAMN08291592	Well drained, deciduous river bank forest soil	USA: St. Paul, Minnesota		non_saline_candidate	
GCF_028532465.1	Bacillus licheniformis	Complete Genome	current	4252022	1	SAMN31807140	purple soil of Beibei District	China: Chongqing		non_saline_candidate	
GCF_030284405.1	Bacillus licheniformis	Complete Genome	current	4238379	1	SAMN35669181	rhizosphere soil	China:Harbin		non_saline_candidate	
GCF_030520185.1	Bacillus licheniformis	Complete Genome	current	4296212	1	SAMN36471627	soil	Russia: republic of Tatarstan		non_saline_candidate	
GCF_035809655.1	Bacillus licheniformis	Scaffold	current	4171474	18	SAMN33940570	soil	USA		non_saline_candidate	
GCF_035809695.1	Bacillus licheniformis	Scaffold	current	4181685	20	SAMN33940569	soil	USA		non_saline_candidate	
GCF_035809755.1	Bacillus licheniformis	Scaffold	current	4076449	35	SAMN33940566	soil	USA		non_saline_candidate	
GCF_035809815.1	Bacillus licheniformis	Scaffold	current	4164332	17	SAMN33940564	soil	USA		non_saline_candidate	
GCF_035810415.1	Bacillus licheniformis	Scaffold	current	4076975	15	SAMN33940532	soil	USA		non_saline_candidate	
GCF_035822515.1	Bacillus licheniformis	Scaffold	current	4380044	75	SAMN33940739	soil	Canada		non_saline_candidate	
GCF_036209345.1	Bacillus mobilis	Scaffold	current	5292615	33	SAMN32927408	soil	Cote d'Ivoire		non_saline_candidate	
GCF_036209375.1	Bacillus mobilis	Scaffold	current	6268179	65	SAMN32927406	soil	Cote d'Ivoire		non_saline_candidate	
GCF_036209385.1	Bacillus mobilis	Scaffold	current	5283309	58	SAMN32927407	soil	Cote d'Ivoire		non_saline_candidate	
GCF_036209425.1	Bacillus mobilis	Scaffold	current	5135665	32	SAMN32927405	soil	Cote d'Ivoire		non_saline_candidate	
GCF_036209445.1	Bacillus mobilis	Scaffold	current	5687175	65	SAMN32927404	soil	Cote d'Ivoire		non_saline_candidate	
GCF_036209545.1	Bacillus mobilis	Scaffold	current	5720863	86	SAMN32927403	soil	Cote d'Ivoire		non_saline_candidate	
GCF_036209565.1	Bacillus mobilis	Scaffold	current	5773522	42	SAMN32927399	soil	Cote d'Ivoire		non_saline_candidate	
GCF_036210125.1	Bacillus licheniformis	Scaffold	current	4249726	43	SAMN32927371	soil	Israel: Evolution Canyon		non_saline_candidate	
GCF_036210145.1	Bacillus licheniformis	Scaffold	current	4284016	48	SAMN32927372	soil	Israel: Evolution Canyon		non_saline_candidate	
GCF_036210165.1	Bacillus licheniformis	Scaffold	current	4235440	40	SAMN32927369	soil	Israel: Evolution Canyon		non_saline_candidate	
GCF_036210185.1	Bacillus licheniformis	Scaffold	current	4336611	40	SAMN32927370	soil	Israel: Evolution Canyon		non_saline_candidate	
GCF_036210215.1	Bacillus licheniformis	Scaffold	current	4176370	27	SAMN32927366	soil	Israel: Evolution Canyon		non_saline_candidate	
GCF_036210315.1	Bacillus licheniformis	Scaffold	current	4301114	45	SAMN32927362	soil	Israel: Evolution Canyon		non_saline_candidate	
GCF_036212245.1	Bacillus licheniformis	Scaffold	current	4180214	25	SAMN32927262	soil	not collected		non_saline_candidate	
GCF_046619435.1	Bacillus licheniformis	Complete Genome	current	4332882	1	SAMN45893318	leaf and root of endophyte	United Arab Emirates: Al Ain	Citrullus colocynthis	non_saline_candidate	
GCF_046619505.1	Bacillus licheniformis	Complete Genome	current	4332882	1	SAMN45893311	root	United Arab Emirates: Al Ain	Citrullus colocynthis	non_saline_candidate	
GCF_049990405.1	Bacillus licheniformis	Complete Genome	current	4294578	1	SAMN48073764	root system of maize	China:Shandong		non_saline_candidate	
GCF_051810305.1	Bacillus licheniformis	Scaffold	current	4163385	40	SAMN50276522	plant root samples	China: Nanjing		non_saline_candidate	
GCF_054182705.1	Bacillus licheniformis	Scaffold	current	4180775	19	SAMN54131381	rhizosphere	India	potato	non_saline_candidate	
GCF_055181215.1	Bacillus licheniformis	Complete Genome	current	4388988	1	SAMN55039096	soil	USA: California		non_saline_candidate	
GCF_056504695.1	Bacillus licheniformis	Complete Genome	current	4357622	1	SAMN56653603	Alkaline soil	China: Wuhan		non_saline_candidate	
GCF_977007745.1	Bacillus licheniformis	Complete Genome	current	4438024	1	SAMEA120226970	Petroleum hydrocarbon-degrading enrichment culture obtained through microcosm enrichment of a PHC-polluted soil: FR_PLO_05_A_M1	France		non_saline_candidate	
GCF_000832605.1	Bacillus mycoides	Complete Genome	current	5637053	4	SAMN03012838	soil	Unknown		non_saline_candidate	
GCF_000931375.1	Bacillus mycoides	Scaffold	current	5785403	131	SAMN03288106	Sunflower (Helianthus annuus) rhizosphere	Brazil: Rio Grande do Sul		non_saline_candidate	
GCF_002104575.1	Bacillus mycoides	Complete Genome	current	6558090	9	SAMN06706669	soil	China:Zhuaxixiulong township, Tianzhu county, Wuwei city.		non_saline_candidate	
GCF_002554935.1	Bacillus mycoides	Scaffold	current	5810988	131	SAMN07597471	soil	USA: NY		non_saline_candidate	
GCF_002568935.1	Bacillus mycoides	Scaffold	current	5633378	88	SAMN07598413	plant core	USA: NC		non_saline_candidate	
GCF_002569385.1	Bacillus mycoides	Scaffold	current	5581213	96	SAMN07598526	soil	USA: NY		non_saline_candidate	
GCF_008274925.1	Bacillus mycoides	Complete Genome	current	5939450	7	SAMN09370089	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018736705.1	Bacillus mycoides	Complete Genome	current	5602899	9	SAMN10879082	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018736725.1	Bacillus mycoides	Complete Genome	current	5740114	3	SAMN10879054	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018736745.1	Bacillus mycoides	Complete Genome	current	6134358	8	SAMN10879059	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018736765.1	Bacillus mycoides	Complete Genome	current	5747492	5	SAMN10879055	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018739305.1	Bacillus mycoides	Complete Genome	current	5751434	6	SAMN10879061	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018739365.1	Bacillus mycoides	Complete Genome	current	5809871	3	SAMN10879050	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018739385.1	Bacillus mycoides	Complete Genome	current	5728462	7	SAMN10879084	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018739445.1	Bacillus mycoides	Complete Genome	current	5900818	3	SAMN10879056	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018739485.1	Bacillus mycoides	Complete Genome	current	5697065	2	SAMN10879087	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018739505.1	Bacillus mycoides	Complete Genome	current	6029494	5	SAMN10879051	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018739525.1	Bacillus mycoides	Complete Genome	current	5956071	5	SAMN10879085	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018739545.1	Bacillus mycoides	Complete Genome	current	5741417	5	SAMN10879064	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018739625.1	Bacillus mycoides	Complete Genome	current	5779348	6	SAMN10879076	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018739645.1	Bacillus mycoides	Complete Genome	current	5798832	3	SAMN10879073	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018739665.1	Bacillus mycoides	Complete Genome	current	5956428	8	SAMN10879062	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018739685.1	Bacillus mycoides	Complete Genome	current	5554158	6	SAMN10879086	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018739705.1	Bacillus mycoides	Complete Genome	current	5342665	3	SAMN10879077	soil	Poland: farmland in Jasienowka		non_saline_candidate	
GCF_018740945.1	Bacillus mycoides	Complete Genome	current	5762966	2	SAMN10879074	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018741005.1	Bacillus mycoides	Complete Genome	current	5951634	4	SAMN10879075	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018741085.1	Bacillus mycoides	Complete Genome	current	5753119	6	SAMN10879052	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018741145.1	Bacillus mycoides	Complete Genome	current	5953157	7	SAMN10879068	soil	Poland: farmland in Jasienowka		non_saline_candidate	
GCF_018741165.1	Bacillus mycoides	Complete Genome	current	5865739	6	SAMN10879063	soil	Poland: farmland in Jasienowka		non_saline_candidate	
GCF_018741465.1	Bacillus mycoides	Complete Genome	current	6338271	11	SAMN10879083	soil	Poland: farmland in Jasienowka		non_saline_candidate	
GCF_018741505.1	Bacillus mycoides	Complete Genome	current	5490614	5	SAMN10879070	soil	Poland: farmland in Jasienowka		non_saline_candidate	
GCF_018741565.1	Bacillus mycoides	Complete Genome	current	5821834	2	SAMN10879071	soil	Poland: farmland in Jasienowka		non_saline_candidate	
GCF_018741605.1	Bacillus mycoides	Complete Genome	current	6066244	9	SAMN10879058	soil	Poland: farmland in Jasienowka		non_saline_candidate	
GCF_018741645.1	Bacillus mycoides	Complete Genome	current	6014015	6	SAMN10879067	soil	Poland: farmland in Jasienowka		non_saline_candidate	
GCF_018742045.1	Bacillus mycoides	Complete Genome	current	5491933	4	SAMN10879070	soil	Poland: farmland in Jasienowka		non_saline_candidate	
GCF_018742105.1	Bacillus mycoides	Complete Genome	current	5821266	2	SAMN10879066	soil	Poland: farmland in Jasienowka		non_saline_candidate	
GCF_018742185.1	Bacillus mycoides	Complete Genome	current	5938126	4	SAMN10879068	soil	Poland: farmland in Jasienowka		non_saline_candidate	
GCF_018742205.1	Bacillus mycoides	Complete Genome	current	5717907	4	SAMN10879084	soil	Poland: Bialowieza National Park		non_saline_candidate	
GCF_018742225.1	Bacillus mycoides	Complete Genome	current	6163987	11	SAMN10879079	soil	Poland: farmland in Jasienowka		non_saline_candidate	
GCF_018742245.1	Bacillus mycoides	Complete Genome	current	5344184	5	SAMN10879080	soil	Poland: farmland in Jasienowka		non_saline_candidate	
GCF_018742265.1	Bacillus mycoides	Complete Genome	current	5835815	8	SAMN10879066	soil	Poland: farmland in Jasienowka		non_saline_candidate	
GCF_018742285.1	Bacillus mycoides	Complete Genome	current	5642620	4	SAMN10879081	soil	Poland: farmland in Jasienowka		non_saline_candidate	
GCF_018751995.1	Bacillus mycoides	Complete Genome	current	6010975	8	SAMN10879060	soil	Poland: farmland in Jasienowka		non_saline_candidate	
GCF_022532085.1	Bacillus mycoides	Complete Genome	current	6002587	6	SAMN26328110	soil	China		non_saline_candidate	
GCF_022691145.1	Bacillus nitratireducens	Chromosome	current	5056959	1	SAMN26533777	peat soil	Germany: long-term fertilization experiment Paulinenaue		non_saline_candidate	
GCF_022814785.1	Bacillus mycoides	Chromosome	current	5877336	6	SAMN26533776	peat soil	Germany: long-term fertilization experiment Paulinenaue		non_saline_candidate	
GCF_024297165.1	Bacillus mycoides	Scaffold	current	4919367	26	SAMN29625964	roots	Canada:Laval	plant	non_saline_candidate	
GCF_029024805.1	Bacillus mycoides	Complete Genome	current	5639253	4	SAMN33336515	Unknown	Unknown	Soil	non_saline_candidate	
GCF_030292015.1	Bacillus mycoides	Complete Genome	current	5338331	3	SAMN34374887	pine forrest soil between two spruce trees	Germany: near Munchenroda, Jena		non_saline_candidate	
GCF_030292115.1	Bacillus mycoides	Complete Genome	current	6137878	6	SAMN34374917	field soil	Germany: Heida		non_saline_candidate	
GCF_030292205.1	Bacillus mycoides	Complete Genome	current	6330179	8	SAMN34374915	field soil	Germany: Heida		non_saline_candidate	
GCF_030292225.1	Bacillus mycoides	Complete Genome	current	6138997	7	SAMN34374918	field soil	Germany: Heida		non_saline_candidate	
GCF_030704245.1	Bacillus mycoides	Complete Genome	current	5757956	4	SAMN36779404	soil	Russia		non_saline_candidate	
GCF_030718825.1	Bacillus mycoides	Complete Genome	current	6351153	9	SAMN36779170	soil	Russia		non_saline_candidate	
GCF_030971845.1	Bacillus pacificus	Scaffold	current	5278071	67	SAMN36289938	soil	Bangladesh		non_saline_candidate	
GCF_032681085.1	Bacillus mycoides	Complete Genome	current	6276647	9	SAMN37669372	soil	Russia		non_saline_candidate	
GCF_032681105.1	Bacillus mycoides	Complete Genome	current	5938482	4	SAMN37669373	soil	Russia		non_saline_candidate	
GCF_035808975.1	Bacillus mojavensis	Scaffold	current	4018244	54	SAMN33940614	soil	Argentina		non_saline_candidate	
GCF_035810735.1	Bacillus mojavensis	Scaffold	current	3990646	76	SAMN33940516	soil	Tunisia		non_saline_candidate	
GCF_035810775.1	Bacillus mojavensis	Scaffold	current	4087355	70	SAMN33940515	soil	Tunisia		non_saline_candidate	
GCF_035810795.1	Bacillus mojavensis	Scaffold	current	4024410	26	SAMN33940513	soil	Tunisia		non_saline_candidate	
GCF_035810825.1	Bacillus mojavensis	Scaffold	current	3963080	20	SAMN33940512	soil	Tunisia		non_saline_candidate	
GCF_035810895.1	Bacillus mojavensis	Scaffold	current	4015796	55	SAMN33940508	soil	China		non_saline_candidate	
GCF_035810915.1	Bacillus mojavensis	Scaffold	current	4101238	50	SAMN33940507	soil	China		non_saline_candidate	
GCF_035810935.1	Bacillus mojavensis	Scaffold	current	4026721	31	SAMN33940509	soil	China		non_saline_candidate	
GCF_035810955.1	Bacillus mojavensis	Scaffold	current	3978495	51	SAMN33940505	soil	China		non_saline_candidate	
GCF_035810995.1	Bacillus mojavensis	Scaffold	current	3916722	22	SAMN33940504	soil	China		non_saline_candidate	
GCF_035811015.1	Bacillus mojavensis	Scaffold	current	4101313	68	SAMN33940503	soil	China		non_saline_candidate	
