Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits
GCF_051390355.1	Bacillus cereus	Contig	current	5020340	4	SAMN48836875	doxycycline resistant derivatives of parent strain ATCC 14579	USA: West Virginia		uncertain	
GCF_051390375.1	Bacillus cereus	Contig	current	5027475	6	SAMN48836874	doxycycline resistant derivatives of parent strain ATCC 14579	USA: West Virginia		uncertain	
GCF_051390395.1	Bacillus cereus	Contig	current	5034488	5	SAMN48836873	doxycycline resistant derivatives of parent strain ATCC 14579	USA: West Virginia		uncertain	
GCF_051390455.1	Bacillus cereus	Contig	current	5039014	4	SAMN48836869	doxycycline resistant derivatives of parent strain ATCC 14579	USA: West Virginia		uncertain	
GCF_051390475.1	Bacillus cereus	Contig	current	5043877	5	SAMN48836870	doxycycline resistant derivatives of parent strain ATCC 14579	USA: West Virginia		uncertain	
GCF_051390495.1	Bacillus cereus	Contig	current	5054242	5	SAMN48836868	doxycycline resistant derivatives of parent strain ATCC 14579	USA: West Virginia		uncertain	
GCF_051390515.1	Bacillus cereus	Contig	current	5024403	4	SAMN48836866	doxycycline resistant derivatives of parent strain ATCC 14579	USA: West Virginia		uncertain	
GCF_051390535.1	Bacillus cereus	Contig	current	5090154	6	SAMN48836867	doxycycline resistant derivatives of parent strain ATCC 14579	USA: West Virginia		uncertain	
GCF_051390555.1	Bacillus cereus	Contig	current	5035686	5	SAMN48836865	doxycycline resistant derivatives of parent strain ATCC 14579	USA: West Virginia		uncertain	
GCF_051390575.1	Bacillus cereus	Contig	current	5044840	5	SAMN48836864	doxycycline resistant derivatives of parent strain ATCC 14579	USA: West Virginia		uncertain	
GCF_051450845.1	Bacillus cereus	Contig	current	6003028	7	SAMN48730346	Corneal scraping	India:Hyderabad	Homo sapiens	uncertain	
GCF_051451545.1	Bacillus cereus	Contig	current	5550344	3	SAMN48730295	Eviscerated Contants	India:Hyderabad	Homo sapiens	uncertain	
GCF_051669205.1	Bacillus cereus	Complete Genome	current	6215614	4	SAMN47572344	bone fracture	USA: Long Island, NY	Homo sapiens	uncertain	
GCF_052071155.1	Bacillus cereus	Scaffold	current	5867693	148	SAMN50549431	Activated sludge from hospital wastewater treatment system	Philippines: Laguna		exclude_review	hospital
GCF_052122615.1	Bacillus cereus	Complete Genome	current	5645515	3	SAMN50572158	soil	China:Xinjiang		non_saline_candidate	
GCF_052373755.1	Bacillus cereus	Contig	current	5132550	39	SAMN47301816	soil	Bangladesh: BSCIC Tannery industrial State, Hemayetpur, Savar, Dhaka		exclude_review	industrial
GCF_052491775.1	Bacillus cereus	Complete Genome	current	6002375	5	SAMN50840429	Wastewater sludge	China: Wuhan		uncertain	
GCF_052601275.1	Bacillus cereus	Chromosome	current	5774463	774	SAMN49946576	leaf	Indonesia: Bogor	Syzygium aromaticum L.	uncertain	
GCF_052645215.1	Bacillus cereus	Contig	current	6001903	247	SAMN50913323	animal host	China		uncertain	
GCF_052658985.1	Bacillus cereus	Chromosome	current	5431849	2	SAMN48836909	doxycycline resistant derivatives of parent strain ATCC 14579	USA: West Virginia		uncertain	
GCF_052659125.1	Bacillus cereus	Chromosome	current	5424005	2	SAMN48836896	doxycycline resistant derivatives of parent strain ATCC 14579	USA: West Virginia		uncertain	
GCF_052748585.1	Bacillus cereus	Contig	current	5479741	96	SAMN51302443	soil from community dumpsite	South Africa: KwaZulu-Natal Durban		non_saline_candidate	
GCF_053004505.1	Bacillus cereus	Contig	current	5389884	45	SAMN52091520	Marine	USA: Pine Island Sound		uncertain	
GCF_053233865.1	Bacillus cereus	Contig	current	5966865	165	SAMN50713536	hot spring	India:Birbhum		uncertain	
GCF_053291905.1	Bacillus cereus	Complete Genome	current	5786006	2	SAMN50033524	Cypress rhizosphere soil	China:Beijing		non_saline_candidate	
GCF_053319815.1	Bacillus cereus	Contig	current	5293182	3	SAMN52944303	Ice core	USA		uncertain	
GCF_053345455.1	Bacillus cereus	Contig	current	5796025	322	SAMN45911963		Mexico	Ambystoma altamirani	uncertain	
GCF_053413415.1	Bacillus cereus	Contig	current	5700195	53	SAMN50263170	Tilapia Hydroponic Tank Water	Canada: Lacombe		uncertain	
GCF_053454635.1	Bacillus cereus	Scaffold	current	6212832	424	SAMN48449921	Hawaijar (fermented soybean)	India: Manipur, Imphal		uncertain	
GCF_053456505.1	Bacillus cereus	Contig	current	5674938	64	SAMN50669858		USA: Maryland		uncertain	
GCF_053456925.1	Bacillus cereus	Contig	current	5675133	67	SAMN50669774		USA: Maryland		uncertain	
GCF_053607585.1	Bacillus cereus	Scaffold	current	5657560	90	SAMN43786934		China		uncertain	
GCF_053617115.1	Bacillus cereus	Scaffold	current	5605506	50	SAMN43787347		China		uncertain	
GCF_053617435.1	Bacillus cereus	Scaffold	current	5548544	546	SAMN43787327		China		uncertain	
GCF_053711355.1	Bacillus cereus	Scaffold	current	5882806	34	SAMN52845052		South Korea		uncertain	
GCF_053711415.1	Bacillus cereus	Scaffold	current	5231709	33	SAMN52845051		South Korea		uncertain	
GCF_053711605.1	Bacillus cereus	Scaffold	current	5698469	29	SAMN52845046		South Korea		uncertain	
GCF_053711655.1	Bacillus cereus	Contig	current	5975183	4	SAMN52845045		South Korea		uncertain	
GCF_053711695.1	Bacillus cereus	Contig	current	5852603	5	SAMN52845044		South Korea		uncertain	
GCF_053711795.1	Bacillus cereus	Contig	current	5537562	4	SAMN52845040		South Korea		uncertain	
GCF_053711915.1	Bacillus cereus	Scaffold	current	5395918	30	SAMN52845037		South Korea		uncertain	
GCF_053711975.1	Bacillus cereus	Scaffold	current	6351869	179	SAMN52845035		South Korea		uncertain	
GCF_053712055.1	Bacillus cereus	Scaffold	current	6356235	178	SAMN52845034		South Korea		uncertain	
GCF_053712355.1	Bacillus cereus	Scaffold	current	5877090	40	SAMN52845025		South Korea		uncertain	
GCF_053712475.1	Bacillus cereus	Scaffold	current	6017585	53	SAMN52845022		South Korea		uncertain	
GCF_053712535.1	Bacillus cereus	Scaffold	current	5859595	28	SAMN52845020		South Korea		uncertain	
GCF_053712675.1	Bacillus cereus	Scaffold	current	5717699	21	SAMN52845017		South Korea		uncertain	
GCF_053712715.1	Bacillus cereus	Scaffold	current	5866397	37	SAMN52845016		South Korea		uncertain	
GCF_053712755.1	Bacillus cereus	Scaffold	current	5239464	25	SAMN52845015		South Korea		uncertain	
GCF_053712775.1	Bacillus cereus	Scaffold	current	5743156	25	SAMN52845013		South Korea		uncertain	
GCF_053712795.1	Bacillus cereus	Scaffold	current	5634273	34	SAMN52845014		South Korea		uncertain	
GCF_053712875.1	Bacillus cereus	Scaffold	current	5835870	33	SAMN52845012		South Korea		uncertain	
GCF_053712895.1	Bacillus cereus	Scaffold	current	6814966	24	SAMN52845011		South Korea		uncertain	
GCF_053712995.1	Bacillus cereus	Scaffold	current	5256293	26	SAMN52845007		South Korea		uncertain	
GCF_053713055.1	Bacillus cereus	Scaffold	current	5717987	26	SAMN52845006		South Korea		uncertain	
GCF_053713075.1	Bacillus cereus	Scaffold	current	5602255	37	SAMN52845005		South Korea		uncertain	
GCF_053894975.1	Bacillus cereus	Contig	current	5336834	215	SAMN53301951	roots	Bangladesh	Oryza sativa	non_saline_candidate	
GCF_054047625.1	Bacillus cereus	Scaffold	current	6511107	69	SAMN53734051	skin	Russia: Moscow	Nothobranchius guentheri	uncertain	
GCF_054174245.1	Bacillus cereus	Contig	current	5601345	91	SAMN53840582	food: icre cream/sorbet	Switzerland		exclude_review	food
GCF_054174265.1	Bacillus cereus	Contig	current	5524602	81	SAMN53840579	food: icre cream/sorbet	Switzerland		exclude_review	food
GCF_054182725.1	Bacillus cereus	Contig	current	5403645	64	SAMN54133049	plant roots in dioxin-contaminated soil area	Viet Nam: Phu Cat airport		non_saline_candidate	
GCF_054187785.1	Bacillus cereus	Contig	current	5682046	67	SAMN54180788		China:Chuzhou	cow	uncertain	
GCF_054343475.1	Bacillus cereus	Contig	current	6213775	66	SAMN54299749	Industrial waste water	Pakistan: Lahore		exclude_review	industrial
GCF_054343885.1	Bacillus cereus	Contig	current	5658728	44	SAMN54261666	food	Brazil: Rio de Janeiro		exclude_review	food
GCF_054343915.1	Bacillus cereus	Contig	current	5336560	45	SAMN54261643	food	Brazil: Rio de Janeiro		exclude_review	food
GCF_054403055.1	Bacillus cereus	Contig	current	5644680	4	SAMN53736891	Gut content	Bangladesh: Ramgoti, Char Alexander, Meghna River	Tenualosa ilisha	uncertain	
GCF_054404535.1	Bacillus cereus	Contig	current	5634564	100	SAMN54273068	wastewater	Ghana		uncertain	
GCF_054404575.1	Bacillus cereus	Contig	current	5936712	192	SAMN54273067	wastewater	Ghana		uncertain	
GCF_054404585.1	Bacillus cereus	Contig	current	5367294	61	SAMN54273066	wastewater	Ghana		uncertain	
GCF_054404675.1	Bacillus cereus	Contig	current	5660875	41	SAMN54275669	food (flour)	Brazil: Rio de Janeiro		exclude_review	food
GCF_054458495.1	Bacillus cereus	Contig	current	6318494	92	SAMN54318597	drinking water	China: Qingdao		uncertain	
GCF_054458535.1	Bacillus cereus	Contig	current	5873809	95	SAMN54318596	Feed	China: Qingdao		uncertain	
GCF_054458555.1	Bacillus cereus	Contig	current	6290189	261	SAMN54318595	Feed	China: Qingdao		uncertain	
GCF_054458575.1	Bacillus cereus	Contig	current	5973678	75	SAMN54318593	Teat skin	China: Qingdao		uncertain	
GCF_054458595.1	Bacillus cereus	Contig	current	5681382	75	SAMN54318592	Teat skin	China: Qingdao		uncertain	
GCF_054458615.1	Bacillus cereus	Contig	current	5711519	78	SAMN54318591	Teat skin	China: Qingdao		uncertain	
GCF_054458635.1	Bacillus cereus	Contig	current	6136607	389	SAMN54318589	Teat skin	China: Qingdao		uncertain	
GCF_054458655.1	Bacillus cereus	Contig	current	5349065	36	SAMN54318588	Pre-milking teat wash water	China: Qingdao		exclude_review	milk
GCF_054458675.1	Bacillus cereus	Contig	current	5124527	40	SAMN54318586	Pre-milking teat wash water	China: Qingdao		exclude_review	milk
GCF_054458695.1	Bacillus cereus	Contig	current	6003427	62	SAMN54318585	Pre-dip cup	China: Qingdao		uncertain	
GCF_054458715.1	Bacillus cereus	Contig	current	5593731	62	SAMN54318584	Pre-dip cup	China: Qingdao		uncertain	
GCF_054458735.1	Bacillus cereus	Contig	current	5711519	78	SAMN54318583	Teat cup liners	China: Qingdao		uncertain	
GCF_054458755.1	Bacillus cereus	Contig	current	5610315	51	SAMN54318581	Raw milk	China: Qingdao		exclude_review	milk
GCF_054458775.1	Bacillus cereus	Contig	current	5226632	24	SAMN54318580	Raw milk	China: Qingdao		exclude_review	milk
GCF_054458795.1	Bacillus cereus	Contig	current	5680597	48	SAMN54318576	feces	China: Qingdao		exclude_review	feces
GCF_054458815.1	Bacillus cereus	Contig	current	5707031	37	SAMN54318574	feces	China: Qingdao		exclude_review	feces
GCF_054458835.1	Bacillus cereus	Contig	current	5879018	41	SAMN54318571	Feed	China: Qingdao		uncertain	
GCF_054458855.1	Bacillus cereus	Contig	current	5611223	45	SAMN54318573	Bedding	China: Qingdao		uncertain	
GCF_054458875.1	Bacillus cereus	Contig	current	6005953	60	SAMN54318570	Feed	China: Qingdao		uncertain	
GCF_054459055.1	Bacillus cereus	Contig	current	5123481	39	SAMN54318565	Teat skin	China: Qingdao		uncertain	
GCF_054459075.1	Bacillus cereus	Contig	current	5124031	42	SAMN54318566	Teat skin	China: Qingdao		uncertain	
GCF_054459095.1	Bacillus cereus	Contig	current	5233344	56	SAMN54318568	Teat skin	China: Qingdao		uncertain	
GCF_054459115.1	Bacillus cereus	Contig	current	5917581	66	SAMN54318564	Teat skin	China: Qingdao		uncertain	
GCF_054459135.1	Bacillus cereus	Contig	current	5679825	36	SAMN54318562	Pre-dip cup	China: Qingdao		uncertain	
GCF_054459155.1	Bacillus cereus	Contig	current	5833643	48	SAMN54318563	Teat skin	China: Qingdao		uncertain	
GCF_054459175.1	Bacillus cereus	Contig	current	5496606	36	SAMN54318559	Teat cup liners	China: Qingdao		uncertain	
GCF_054459195.1	Bacillus cereus	Contig	current	5669839	54	SAMN54318557	Teat cup liners	China: Qingdao		uncertain	
GCF_054459215.1	Bacillus cereus	Contig	current	5449723	65	SAMN54318554	feces	China: Qingdao		exclude_review	feces
GCF_054459235.1	Bacillus cereus	Contig	current	5753047	48	SAMN54318552	Feed	China: Qingdao		uncertain	
GCF_054459255.1	Bacillus cereus	Contig	current	5942677	53	SAMN54318551	Feed	China: Qingdao		uncertain	
GCF_054459275.1	Bacillus cereus	Contig	current	5789572	85	SAMN54318550	Feed	China: Qingdao		uncertain	
GCF_054459295.1	Bacillus cereus	Contig	current	6075562	83	SAMN54318549	Teat skin	China: Qingdao		uncertain	
GCF_054459315.1	Bacillus cereus	Contig	current	5155155	28	SAMN54318547	Teat skin	China: Qingdao		uncertain	
GCF_054459335.1	Bacillus cereus	Contig	current	5675134	65	SAMN54318546	Teat skin	China: Qingdao		uncertain	
GCF_054459355.1	Bacillus cereus	Contig	current	5661894	49	SAMN54318544	Teat skin	China: Qingdao		uncertain	
GCF_054459375.1	Bacillus cereus	Contig	current	5679938	35	SAMN54318543	Pre-milking teat wash water	China: Qingdao		exclude_review	milk
GCF_054459395.1	Bacillus cereus	Contig	current	5720361	66	SAMN54318541	Pre-dip cup	China: Qingdao		uncertain	
GCF_054459415.1	Bacillus cereus	Contig	current	5553361	66	SAMN54318539	Teat cup liners	China: Qingdao		uncertain	
GCF_054459435.1	Bacillus cereus	Contig	current	5660052	60	SAMN54318536	Teat cup liners	China: Qingdao		uncertain	
GCF_054459455.1	Bacillus cereus	Contig	current	5741236	72	SAMN54318537	Teat cup liners	China: Qingdao		uncertain	
GCF_054459475.1	Bacillus cereus	Contig	current	5832816	52	SAMN54318534	Teat cup liners	China: Qingdao		uncertain	
GCF_054459495.1	Bacillus cereus	Contig	current	5722862	62	SAMN54318529	Raw milk	China: Qingdao		exclude_review	milk
GCF_054459515.1	Bacillus cereus	Contig	current	5652188	54	SAMN54318530	Raw milk	China: Qingdao		exclude_review	milk
GCF_054459535.1	Bacillus cereus	Contig	current	5683693	49	SAMN54318526	Raw milk	China: Qingdao		exclude_review	milk
GCF_054459555.1	Bacillus cereus	Contig	current	6230146	151	SAMN54318524	feces	China: Qingdao		exclude_review	feces
GCF_054459575.1	Bacillus cereus	Contig	current	5124286	42	SAMN54318525	Post-dip cup	China: Qingdao		uncertain	
GCF_054600835.1	Bacillus cereus	Contig	current	5800830	174	SAMD01600114		Japan:Saga, Saga, tidal mudflat		uncertain	
GCF_054765575.1	Bacillus cereus	Contig	current	5270898	72	SAMD00982745		Japan	Homo sapiens	uncertain	
GCF_054765595.1	Bacillus cereus	Contig	current	5666159	74	SAMD00982744		Japan	Homo sapiens	uncertain	
GCF_054765615.1	Bacillus cereus	Contig	current	6619121	1058	SAMD00982743		Japan	Homo sapiens	uncertain	
GCF_054765635.1	Bacillus cereus	Contig	current	6517543	126	SAMD00982742		Japan	Homo sapiens	uncertain	
GCF_054765655.1	Bacillus cereus	Contig	current	5842960	114	SAMD00982741		Japan	Homo sapiens	uncertain	
GCF_054765675.1	Bacillus cereus	Contig	current	5680637	49	SAMD00982740		Japan	Homo sapiens	uncertain	
GCF_054765695.1	Bacillus cereus	Contig	current	5849347	109	SAMD00982739		Japan	Homo sapiens	uncertain	
GCF_054765715.1	Bacillus cereus	Contig	current	7032249	110	SAMD00982738		Japan	Homo sapiens	uncertain	
GCF_054765735.1	Bacillus cereus	Contig	current	5555945	95	SAMD00982737		Japan	Homo sapiens	uncertain	
GCF_054765755.1	Bacillus cereus	Contig	current	5711778	140	SAMD00982736		Japan	Homo sapiens	uncertain	
GCF_054765795.1	Bacillus cereus	Contig	current	5609270	111	SAMD00982734		Japan	Homo sapiens	uncertain	
GCF_054765855.1	Bacillus cereus	Contig	current	6521276	129	SAMD00982731		Japan	Homo sapiens	uncertain	
GCF_054765915.1	Bacillus cereus	Contig	current	5206154	37	SAMD00982730		Japan	Homo sapiens	uncertain	
GCF_054765995.1	Bacillus cereus	Contig	current	5597680	110	SAMD00982728		Japan	Homo sapiens	uncertain	
GCF_054766085.1	Bacillus cereus	Contig	current	5769216	83	SAMD00982725		Japan	Homo sapiens	uncertain	
GCF_054766175.1	Bacillus cereus	Contig	current	5562836	74	SAMD00982723		Japan	Homo sapiens	uncertain	
GCF_054766275.1	Bacillus cereus	Contig	current	5464837	63	SAMD00982721		Japan	Homo sapiens	uncertain	
GCF_054766295.1	Bacillus cereus	Contig	current	5533673	106	SAMD00982720		Japan	Homo sapiens	uncertain	
GCF_054766515.1	Bacillus cereus	Contig	current	5425917	60	SAMD00982715		Japan	Homo sapiens	uncertain	
GCF_054766635.1	Bacillus cereus	Contig	current	5375397	59	SAMD00982712		Japan	Homo sapiens	uncertain	
GCF_054766655.1	Bacillus cereus	Contig	current	5566694	117	SAMD00982711		Japan	Homo sapiens	uncertain	
GCF_054766715.1	Bacillus cereus	Contig	current	5683614	154	SAMD00982710		Japan	Homo sapiens	uncertain	
GCF_054766915.1	Bacillus cereus	Contig	current	6457334	126	SAMD00982707		Japan	Homo sapiens	uncertain	
GCF_054766955.1	Bacillus cereus	Contig	current	5824317	154	SAMD00982705		Japan	Homo sapiens	uncertain	
GCF_054766975.1	Bacillus cereus	Contig	current	5727293	132	SAMD00982704		Japan	Homo sapiens	uncertain	
GCF_054766995.1	Bacillus cereus	Contig	current	5646991	112	SAMD00982703		Japan	Homo sapiens	uncertain	
GCF_054767135.1	Bacillus cereus	Contig	current	5545844	78	SAMD00982698		Japan	Homo sapiens	uncertain	
GCF_054850195.1	Bacillus cereus	Complete Genome	current	5389775	1	SAMN54727843	rhizosphere soil of rice	China:Changsha		non_saline_candidate	
GCF_054901695.1	Bacillus cereus	Complete Genome	current	5350227	1	SAMN52845042		South Korea		uncertain	
GCF_054962155.1	Bacillus cereus	Contig	current	5673590	6	SAMN53301936		Bangladesh	Tenualosa ilisha	uncertain	
GCF_055388895.1	Bacillus cereus	Complete Genome	current	6107042	7	SAMD01611175	soil	Japan		non_saline_candidate	
GCF_055419165.1	Bacillus cereus	Contig	current	5547101	51	SAMN55391293	heavy metal leachate-contaminated soil	Mexico: Queretaro		non_saline_candidate	
GCF_055485795.1	Bacillus cereus	Contig	current	5810059	21	SAMN55368375	hot-springs ponds 03	Mexico: Michoacan		uncertain	
GCF_055485835.1	Bacillus cereus	Contig	current	5971958	22	SAMN55368373	hot-springs ponds 01	Mexico: Michoacan		uncertain	
GCF_055485875.1	Bacillus cereus	Contig	current	6025320	30	SAMN55368368	temperate ponds Cuatrocinegas 03	Mexico: Coahuila		uncertain	
GCF_055485895.1	Bacillus cereus	Contig	current	6262947	90	SAMN55368367	temperate ponds Cuatrocinegas 02	Mexico: Coahuila		uncertain	
GCF_055485935.1	Bacillus cereus	Scaffold	current	5902222	21	SAMN55368366	temperate ponds Cuatrocinegas 01	Mexico: Coahuila		uncertain	
GCF_055486435.1	Bacillus cereus	Contig	current	5778641	40	SAMN50124659		Argentina: San Juan		uncertain	
GCF_055524475.1	Bacillus cereus	Contig	current	5811903	65	SAMN55038011	water and sediment from freshwater pond	USA: Rochester		uncertain	
GCF_055559575.1	Bacillus cereus	Scaffold	current	5605922	36	SAMN55299953		not applicable		uncertain	
GCF_055560315.1	Bacillus cereus	Scaffold	current	5814077	67	SAMN55299913		not applicable		uncertain	
GCF_055640215.1	Bacillus cereus	Contig	current	6142410	108	SAMN55916412	pharmaceutical industry facility	Brazil		uncertain	
GCF_055701525.1	Bacillus cereus	Contig	current	5796740	80	SAMN56266448	Flour	Brazil:Rio de Janeiro		uncertain	
GCF_055701645.1	Bacillus cereus	Contig	current	6360891	325	SAMN56266449	flour	Brazil:Rio de Janeiro		uncertain	
GCF_055704865.1	Bacillus cereus	Contig	current	5648325	67	SAMN56255794	human beard	China: Zhejiang	Homo sapiens	exclude_review	human
GCF_055793445.1	Bacillus cereus	Complete Genome	current	5905554	6	SAMN54896198	rhizosphere soil of tea plant	China		non_saline_candidate	
GCF_055793485.1	Bacillus cereus	Complete Genome	current	5431749	2	SAMN54211408	lab-derived	USA: West Virginia	not applicable	uncertain	
GCF_055793505.1	Bacillus cereus	Complete Genome	current	5431713	2	SAMN54211407	lab-derived	USA: West Virginia	not applicable	uncertain	
GCF_055793525.1	Bacillus cereus	Complete Genome	current	5431732	2	SAMN54211405	lab-derived	USA: West Virginia	not applicable	uncertain	
GCF_055793545.1	Bacillus cereus	Complete Genome	current	5430799	2	SAMN54211406	lab-derived	USA: West Virginia	not applicable	uncertain	
GCF_055793565.1	Bacillus cereus	Complete Genome	current	5454727	2	SAMN54211404	lab-derived	USA: West Virginia	not applicable	uncertain	
GCF_000007825.1	Bacillus cereus ATCC 14579	Complete Genome	current	5427083	2	SAMN02603340				uncertain	
GCF_000011625.1	Bacillus cereus E33L	Complete Genome	current	5843235	6	SAMN02598269				uncertain	
GCF_000021205.1	Bacillus cereus B4264	Complete Genome	current	5419036	1	SAMN02604059			Homo sapiens	uncertain	
GCF_000021305.1	Bacillus cereus G9842	Complete Genome	current	5736823	3	SAMN02604060				uncertain	
GCF_000021785.1	Bacillus cereus AH820	Complete Genome	current	5588834	4	SAMN02604057				uncertain	
GCF_000022505.1	Bacillus cereus 03BB102	Complete Genome	current	5449308	2	SAMN02603930				uncertain	
GCF_000143605.1	Bacillus cereus biovar anthracis str. CI	Complete Genome	current	5486649	4	SAMN02603256				uncertain	
GCF_000160895.1	Bacillus cereus ATCC 10876	Chromosome	current	5939023	245	SAMN00715886				uncertain	
GCF_000160915.1	Bacillus cereus BGSC 6E1	Chromosome	current	5730178	202	SAMN00727655				uncertain	
GCF_000160935.1	Bacillus cereus 172560W	Chromosome	current	5699545	152	SAMN00727633				uncertain	
GCF_000161055.1	Bacillus cereus BDRD-ST24	Chromosome	current	5436173	185	SAMN00727632				uncertain	
GCF_000161115.1	Bacillus cereus BDRD-Cer4	Chromosome	current	5397450	117	SAMN00727651				uncertain	
GCF_000161135.1	Bacillus cereus 95/8201	Chromosome	current	5584055	228	SAMN00110498				uncertain	
GCF_000161315.1	Bacillus cereus F65185	Chromosome	current	6133179	267	SAMN00727647				uncertain	
GCF_000161355.1	Bacillus cereus AH676	Chromosome	current	5594747	315	SAMN00727673				uncertain	
GCF_000181615.1	Bacillus cereus AH1134	Scaffold	current	5908750	37	SAMN02436322				uncertain	
GCF_000239195.1	Bacillus cereus F837/76	Complete Genome	current	5288498	3	SAMN02603249				uncertain	
GCF_000291035.1	Bacillus cereus BAG1X1-2	Scaffold	current	5856198	79	SAMN02596803				uncertain	
GCF_000291295.1	Bacillus cereus BAG5X1-1	Scaffold	current	5635174	85	SAMN02596821				uncertain	
GCF_000291415.1	Bacillus cereus BAG4X12-1	Scaffold	current	5825595	65	SAMN02596818				uncertain	
GCF_000291435.1	Bacillus cereus BAG4O-1	Scaffold	current	5726356	63	SAMN02596817				uncertain	
GCF_000291455.1	Bacillus cereus BAG3X2-2	Scaffold	current	5865692	60	SAMN02596816				uncertain	
GCF_000291515.1	Bacillus cereus BAG2X1-3	Scaffold	current	5250571	88	SAMN02596813				uncertain	
GCF_000291535.1	Bacillus cereus BAG3O-2	Scaffold	current	5856021	67	SAMN02596814				uncertain	
GCF_000293545.1	Bacillus cereus BAG6O-2	Scaffold	current	5747228	90	SAMN02596825				uncertain	
GCF_000399005.1	Bacillus cereus BAG1X1-1	Scaffold	current	6542829	127	SAMN02596802				uncertain	
GCF_000399065.1	Bacillus cereus BAG1X2-1	Scaffold	current	6534863	121	SAMN02596805				uncertain	
GCF_000399085.1	Bacillus cereus BAG1X2-2	Scaffold	current	6858766	81	SAMN02596806				uncertain	
GCF_000399105.1	Bacillus cereus BAG1X2-3	Scaffold	current	6531739	76	SAMN02596807				uncertain	
GCF_000399265.1	Bacillus cereus BAG2O-1	Scaffold	current	6697912	79	SAMN02596808				uncertain	
GCF_000399325.1	Bacillus cereus BAG5X12-1	Scaffold	current	5725826	49	SAMN02596822				uncertain	
GCF_000399345.1	Bacillus cereus BMG1.7	Scaffold	current	6496494	135	SAMN02596828				uncertain	
GCF_000412975.1	Bacillus cereus BAG1O-3	Scaffold	current	5851194	55	SAMN02596801				uncertain	
GCF_000743815.1	Bacillus cereus ATCC 10876	Scaffold	current	5996083	26	SAMN02736987	Contaminated flask	unknown		uncertain	
GCF_000832385.1	Bacillus cereus D17	Complete Genome	current	5590358	2	SAMN03010435	Not Available	Not Available		uncertain	
GCF_000832405.1	Bacillus cereus 03BB102	Complete Genome	current	5448107	2	SAMN03010434	Human blood	USA: Texas, San Antonio		exclude_review	human;blood
GCF_000832865.1	Bacillus cereus 03BB108	Complete Genome	current	6068729	8	SAMN03107384	Dust	USA: TX		uncertain	
GCF_000833045.1	Bacillus cereus E33L	Complete Genome	current	5846781	6	SAMN03199333	Animal, carcass of dead zebra	Namibia: Etosha National Park		uncertain	
GCF_002224345.1	Bacillus cereus C1L	Complete Genome	current	6047547	4	SAMN07357037	rhizosphere	Taiwan: Taroko National Park, Hualien		non_saline_candidate	
GCF_006094295.1	Bacillus cereus ATCC 14579	Complete Genome	current	5431377	2	SAMN10591533		missing	missing	uncertain	
GCF_007679745.1	Bacillus cereus B4264	Scaffold	current	5856574	100	SAMN11792234	environmental	USA: North Carolina, Durham	not applicable	uncertain	
GCF_027712525.1	Bacillus cereus group sp. Bcc13	Contig	current	5527807	93	SAMN32411559	environmental	China: Shenzhen		uncertain	
GCF_027712565.1	Bacillus cereus group sp. Bcc09	Contig	current	5547742	148	SAMN32411556	environmental	China: Shenzhen		uncertain	
GCF_027712725.1	Bacillus cereus group sp. Bcc03	Contig	current	5752981	110	SAMN32411552	environmental	China: Shenzhen		uncertain	
GCF_027712745.1	Bacillus cereus group sp. Bcc02	Contig	current	5591897	130	SAMN32411551	environmental	China: Shenzhen		uncertain	
GCF_027713565.1	Bacillus cereus group sp. Bc253	Contig	current	5519071	24	SAMN32411530	environmental	China: Shenzhen		uncertain	
GCF_027713585.1	Bacillus cereus group sp. Bc256	Contig	current	5401073	74	SAMN32411531	environmental	China: Shenzhen		uncertain	
GCF_027713605.1	Bacillus cereus group sp. Bc252	Contig	current	5633478	87	SAMN32411529	environmental	China: Shenzhen		uncertain	
GCF_027713685.1	Bacillus cereus group sp. Bc238	Contig	current	5720408	92	SAMN32411521	environmental	China: Shenzhen		uncertain	
GCF_027713705.1	Bacillus cereus group sp. Bc237	Contig	current	5745555	94	SAMN32411520	environmental	China: Shenzhen		uncertain	
GCF_027713765.1	Bacillus cereus group sp. Bc247	Contig	current	5241343	40	SAMN32411526	environmental	China: Shenzhen		uncertain	
GCF_027713805.1	Bacillus cereus group sp. Bc248	Contig	current	5241831	37	SAMN32411527	environmental	China: Shenzhen		uncertain	
GCF_027713925.1	Bacillus cereus group sp. Bc228	Contig	current	5765724	63	SAMN32411517	environmental	China: Shenzhen		uncertain	
GCF_027714005.1	Bacillus cereus group sp. Bc227	Contig	current	5838603	60	SAMN32411516	environmental	China: Shenzhen		uncertain	
GCF_027714025.1	Bacillus cereus group sp. Bc222	Contig	current	5601940	123	SAMN32411514	environmental	China: Shenzhen		uncertain	
GCF_027714125.1	Bacillus cereus group sp. Bc200	Contig	current	5745895	61	SAMN32411511	environmental	China: Shenzhen		uncertain	
GCF_027714365.1	Bacillus cereus group sp. Bc191	Contig	current	5455925	51	SAMN32411506	environmental	China: Shenzhen		uncertain	
GCF_027714545.1	Bacillus cereus group sp. Bc177	Contig	current	5851381	58	SAMN32411499	environmental	China: Shenzhen		uncertain	
