Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits
GCF_054343475.1	Bacillus cereus	Contig	current	6213775	66	SAMN54299749	Industrial waste water	Pakistan: Lahore		exclude_review	industrial
GCF_054343885.1	Bacillus cereus	Contig	current	5658728	44	SAMN54261666	food	Brazil: Rio de Janeiro		exclude_review	food
GCF_054343915.1	Bacillus cereus	Contig	current	5336560	45	SAMN54261643	food	Brazil: Rio de Janeiro		exclude_review	food
GCF_054404675.1	Bacillus cereus	Contig	current	5660875	41	SAMN54275669	food (flour)	Brazil: Rio de Janeiro		exclude_review	food
GCF_054458655.1	Bacillus cereus	Contig	current	5349065	36	SAMN54318588	Pre-milking teat wash water	China: Qingdao		exclude_review	milk
GCF_054458675.1	Bacillus cereus	Contig	current	5124527	40	SAMN54318586	Pre-milking teat wash water	China: Qingdao		exclude_review	milk
GCF_054458755.1	Bacillus cereus	Contig	current	5610315	51	SAMN54318581	Raw milk	China: Qingdao		exclude_review	milk
GCF_054458775.1	Bacillus cereus	Contig	current	5226632	24	SAMN54318580	Raw milk	China: Qingdao		exclude_review	milk
GCF_054458795.1	Bacillus cereus	Contig	current	5680597	48	SAMN54318576	feces	China: Qingdao		exclude_review	feces
GCF_054458815.1	Bacillus cereus	Contig	current	5707031	37	SAMN54318574	feces	China: Qingdao		exclude_review	feces
GCF_054459215.1	Bacillus cereus	Contig	current	5449723	65	SAMN54318554	feces	China: Qingdao		exclude_review	feces
GCF_054459375.1	Bacillus cereus	Contig	current	5679938	35	SAMN54318543	Pre-milking teat wash water	China: Qingdao		exclude_review	milk
GCF_054459495.1	Bacillus cereus	Contig	current	5722862	62	SAMN54318529	Raw milk	China: Qingdao		exclude_review	milk
GCF_054459515.1	Bacillus cereus	Contig	current	5652188	54	SAMN54318530	Raw milk	China: Qingdao		exclude_review	milk
GCF_054459535.1	Bacillus cereus	Contig	current	5683693	49	SAMN54318526	Raw milk	China: Qingdao		exclude_review	milk
GCF_054459555.1	Bacillus cereus	Contig	current	6230146	151	SAMN54318524	feces	China: Qingdao		exclude_review	feces
GCF_055704865.1	Bacillus cereus	Contig	current	5648325	67	SAMN56255794	human beard	China: Zhejiang	Homo sapiens	exclude_review	human
GCF_000832405.1	Bacillus cereus 03BB102	Complete Genome	current	5448107	2	SAMN03010434	Human blood	USA: Texas, San Antonio		exclude_review	human;blood
GCF_056679785.1	Bacillus cereus	Complete Genome	current	5393033	1	SAMN53689805	food: bechamel sauce	Switzerland: Basel		exclude_review	food
GCF_056723985.1	Bacillus cereus	Contig	current	5280390	85	SAMN57084352	Maternity hospital, obstetric observation department	Russia: Makhachkala	sample from the maternity hospital	exclude_review	hospital
GCF_056724205.1	Bacillus cereus	Contig	current	5298577	70	SAMN57084351	Maternity hospital, obstetric observation department	Russia: Makhachkala	sample from the maternity hospital	exclude_review	hospital
GCF_056724225.1	Bacillus cereus	Contig	current	5101334	397	SAMN57084350	Maternity hospital, obstetric observation department	Russia: Makhachkala	sample from the maternity hospital	exclude_review	hospital
GCF_900445335.1	Bacillus cereus	Contig	current	5704051	92	SAMEA26382418	Picked up in laboratory		not available	exclude_review	laboratory
GCF_918187235.1	Bacillus cereus	Scaffold	current	5708884	154	SAMEA9996414	cheese			exclude_review	cheese
GCF_918204315.1	Bacillus cereus	Scaffold	current	5708063	150	SAMEA9996415	cheese			exclude_review	cheese
GCF_964211315.1	Bacillus cereus	Contig	current	5617917	268	SAMEA115875321	urine	Tanzania	Homo sapiens	exclude_review	urine
GCF_001050335.1	Bacillus cytotoxicus	Scaffold	current	4113902	38	SAMN03325929	Potato puree, food poisoning	Germany	missing	exclude_review	food
GCF_022662555.1	Bacillus cereus group sp. BfR-BA-01538	Contig	current	5644107	60	SAMN25826073	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662595.1	Bacillus cereus group sp. BfR-BA-01524	Contig	current	6089492	532	SAMN25826072	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662615.1	Bacillus cereus group sp. BfR-BA-01523	Contig	current	5227082	54	SAMN25826071	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662635.1	Bacillus cereus group sp. BfR-BA-01522	Contig	current	4134432	81	SAMN25826070	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662645.1	Bacillus cereus group sp. BfR-BA-01521	Contig	current	5343548	111	SAMN25826069	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662675.1	Bacillus cereus group sp. BfR-BA-01517	Contig	current	5609241	477	SAMN25826067	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662685.1	Bacillus cereus group sp. BfR-BA-01518	Contig	current	5268055	82	SAMN25826068	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662715.1	Bacillus cereus group sp. BfR-BA-01496	Contig	current	5760717	66	SAMN25826064	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662735.1	Bacillus cereus group sp. BfR-BA-01511	Contig	current	5211258	84	SAMN25826065	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662755.1	Bacillus cereus group sp. BfR-BA-01516	Contig	current	5644470	488	SAMN25826066	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662775.1	Bacillus cereus group sp. BfR-BA-01495	Contig	current	5174204	41	SAMN25826063	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662795.1	Bacillus cereus group sp. BfR-BA-01494	Contig	current	6471690	62	SAMN25826062	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662815.1	Bacillus cereus group sp. BfR-BA-01492	Contig	current	4186079	85	SAMN25826061	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662835.1	Bacillus cereus group sp. BfR-BA-01491	Contig	current	5095886	48	SAMN25826060	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662845.1	Bacillus cereus group sp. BfR-BA-01490	Contig	current	5525928	51	SAMN25826059	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662875.1	Bacillus cereus group sp. BfR-BA-01489	Contig	current	6269893	639	SAMN25826058	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662895.1	Bacillus cereus group sp. BfR-BA-01455	Contig	current	5360845	63	SAMN25826057	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662915.1	Bacillus cereus group sp. BfR-BA-01453	Contig	current	5189284	62	SAMN25826055	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662925.1	Bacillus cereus group sp. BfR-BA-01454	Contig	current	5734081	455	SAMN25826056	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662955.1	Bacillus cereus group sp. BfR-BA-01451	Contig	current	5183963	60	SAMN25826054	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662975.1	Bacillus cereus group sp. BfR-BA-01449	Contig	current	5554274	447	SAMN25826053	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022662995.1	Bacillus cereus group sp. BfR-BA-01447	Contig	current	5438632	46	SAMN25826051	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663005.1	Bacillus cereus group sp. BfR-BA-01448	Contig	current	5407405	50	SAMN25826052	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663035.1	Bacillus cereus group sp. BfR-BA-01446	Contig	current	5612837	421	SAMN25826050	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663055.1	Bacillus cereus group sp. BfR-BA-01445	Contig	current	5243612	74	SAMN25826049	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663075.1	Bacillus cereus group sp. BfR-BA-01441	Contig	current	5943151	492	SAMN25826048	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663095.1	Bacillus cereus group sp. BfR-BA-01428	Contig	current	5194027	91	SAMN25826045	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663115.1	Bacillus cereus group sp. BfR-BA-01430	Contig	current	4345875	123	SAMN25826046	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663135.1	Bacillus cereus group sp. BfR-BA-01431	Contig	current	4273648	134	SAMN25826047	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663155.1	Bacillus cereus group sp. BfR-BA-01427	Contig	current	6327880	118	SAMN25826044	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663175.1	Bacillus cereus group sp. BfR-BA-01426	Contig	current	5717966	64	SAMN25826043	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663195.1	Bacillus cereus group sp. BfR-BA-01425	Contig	current	5146078	66	SAMN25826042	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663215.1	Bacillus cereus group sp. BfR-BA-01424	Contig	current	5362314	87	SAMN25826041	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663235.1	Bacillus cereus group sp. BfR-BA-01423	Contig	current	5462766	483	SAMN25826040	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663255.1	Bacillus cereus group sp. BfR-BA-01422	Contig	current	5301801	75	SAMN25826039	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663275.1	Bacillus cereus group sp. BfR-BA-01409	Contig	current	5317693	66	SAMN25826038	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663295.1	Bacillus cereus group sp. BfR-BA-01402	Contig	current	5641799	73	SAMN25826035	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663305.1	Bacillus cereus group sp. BfR-BA-01408	Contig	current	5125622	397	SAMN25826037	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663335.1	Bacillus cereus group sp. BfR-BA-01403	Contig	current	5776118	75	SAMN25826036	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663355.1	Bacillus cereus group sp. BfR-BA-01400	Contig	current	5721232	58	SAMN25826034	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663375.1	Bacillus cereus group sp. BfR-BA-01399	Contig	current	5683628	70	SAMN25826033	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663395.1	Bacillus cereus group sp. BfR-BA-01394	Contig	current	5628269	53	SAMN25826031	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663415.1	Bacillus cereus group sp. BfR-BA-01395	Contig	current	5264484	72	SAMN25826032	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663435.1	Bacillus cereus group sp. BfR-BA-01393	Contig	current	6763031	850	SAMN25826030	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663445.1	Bacillus cereus group sp. BfR-BA-01392	Contig	current	5385373	65	SAMN25826029	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663475.1	Bacillus cereus group sp. BfR-BA-01382	Contig	current	6372282	480	SAMN25826026	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663485.1	Bacillus cereus group sp. BfR-BA-01391	Contig	current	5670050	74	SAMN25826028	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663495.1	Bacillus cereus group sp. BfR-BA-01383	Contig	current	5140349	155	SAMN25826027	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663535.1	Bacillus cereus group sp. BfR-BA-01380	Contig	current	5165413	143	SAMN25826024	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663555.1	Bacillus cereus group sp. BfR-BA-01381	Contig	current	5433478	387	SAMN25826025	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663575.1	Bacillus cereus group sp. BfR-BA-01361	Contig	current	5188960	72	SAMN25826022	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663595.1	Bacillus cereus group sp. BfR-BA-01360	Contig	current	4187838	117	SAMN25826021	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663605.1	Bacillus cereus group sp. BfR-BA-01379	Contig	current	5316340	373	SAMN25826023	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663635.1	Bacillus cereus group sp. BfR-BA-01356	Contig	current	6374753	345	SAMN25826019	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663655.1	Bacillus cereus group sp. BfR-BA-01358	Contig	current	5295082	93	SAMN25826020	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663675.1	Bacillus cereus group sp. BfR-BA-01355	Contig	current	6166464	555	SAMN25826018	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663685.1	Bacillus cereus group sp. BfR-BA-01353	Contig	current	6704104	430	SAMN25826016	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663715.1	Bacillus cereus group sp. BfR-BA-01352	Contig	current	5498271	71	SAMN25826015	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663735.1	Bacillus cereus group sp. BfR-BA-01354	Contig	current	5818225	144	SAMN25826017	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663755.1	Bacillus cereus group sp. BfR-BA-01351	Contig	current	5419505	73	SAMN25826014	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663775.1	Bacillus cereus group sp. BfR-BA-01350	Contig	current	5149284	72	SAMN25826013	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663795.1	Bacillus cereus group sp. BfR-BA-01349	Contig	current	5428379	136	SAMN25826012	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663815.1	Bacillus cereus group sp. BfR-BA-01348	Contig	current	6278709	350	SAMN25826011	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663835.1	Bacillus cereus group sp. BfR-BA-01347	Contig	current	6424546	119	SAMN25826010	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663855.1	Bacillus cereus group sp. BfR-BA-01346	Contig	current	5168476	70	SAMN25826009	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663875.1	Bacillus cereus group sp. BfR-BA-01345	Contig	current	6581644	403	SAMN25826008	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663885.1	Bacillus cereus group sp. BfR-BA-01330	Contig	current	5637305	39	SAMN25826006	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663915.1	Bacillus cereus group sp. BfR-BA-01331	Contig	current	6140474	209	SAMN25826007	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663925.1	Bacillus cereus group sp. BfR-BA-01329	Contig	current	5398743	42	SAMN25826005	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663955.1	Bacillus cereus group sp. BfR-BA-01328	Contig	current	6017463	86	SAMN25826004	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663975.1	Bacillus cereus group sp. BfR-BA-01327	Contig	current	5727226	84	SAMN25826003	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022663985.1	Bacillus cereus group sp. BfR-BA-01326	Contig	current	5690315	76	SAMN25826002	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022664015.1	Bacillus cereus group sp. BfR-BA-01325	Contig	current	5621941	69	SAMN25826001	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022664035.1	Bacillus cereus group sp. BfR-BA-01324	Contig	current	5363514	61	SAMN25826000	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022664055.1	Bacillus cereus group sp. BfR-BA-01323	Contig	current	5393358	46	SAMN25825999	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022664075.1	Bacillus cereus group sp. BfR-BA-01322	Contig	current	5437749	82	SAMN25825998	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022664085.1	Bacillus cereus group sp. BfR-BA-01321	Contig	current	6651519	578	SAMN25825997	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022664115.1	Bacillus cereus group sp. BfR-BA-01319	Contig	current	6719413	324	SAMN25825996	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022664135.1	Bacillus cereus group sp. BfR-BA-01317	Contig	current	7056482	166	SAMN25825994	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022664155.1	Bacillus cereus group sp. BfR-BA-01318	Contig	current	7185523	436	SAMN25825995	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022664195.1	Bacillus cereus group sp. BfR-BA-01316	Contig	current	4756111	177	SAMN25825993	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022664215.1	Bacillus cereus group sp. BfR-BA-01315	Contig	current	5421130	388	SAMN25825992	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022664225.1	Bacillus cereus group sp. BfR-BA-01313	Contig	current	6136932	101	SAMN25825990	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022664255.1	Bacillus cereus group sp. BfR-BA-01314	Contig	current	5653204	46	SAMN25825991	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022664265.1	Bacillus cereus group sp. BfR-BA-01312	Contig	current	6841855	346	SAMN25825989	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022664295.1	Bacillus cereus group sp. BfR-BA-01311	Contig	current	5467643	50	SAMN25825988	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022664315.1	Bacillus cereus group sp. BfR-BA-01309	Contig	current	5698621	92	SAMN25825986	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_022664325.1	Bacillus cereus group sp. BfR-BA-01310	Contig	current	5680919	133	SAMN25825987	food	Germany: foodproduct with ingredients from different origins		exclude_review	food
GCF_029850295.1	Bacillus cytotoxicus	Contig	current	4301499	74	SAMN26764628	potato-based retail food product	Switzerland		exclude_review	food
GCF_029850315.1	Bacillus cytotoxicus	Contig	current	4158305	55	SAMN26764624	potato-based retail food product	Switzerland		exclude_review	food
GCF_029850325.1	Bacillus cytotoxicus	Contig	current	4197905	87	SAMN26764626	potato-based retail food product	Switzerland		exclude_review	food
GCF_029850335.1	Bacillus cytotoxicus	Contig	current	4190283	58	SAMN26764625	potato-based retail food product	Switzerland		exclude_review	food
GCF_029850345.1	Bacillus cytotoxicus	Contig	current	3982203	42	SAMN26764627	potato-based retail food product	Switzerland		exclude_review	food
GCF_029850395.1	Bacillus cytotoxicus	Contig	current	4139964	70	SAMN26764623	potato-based retail food product	Switzerland		exclude_review	food
GCF_029850415.1	Bacillus cytotoxicus	Contig	current	4131604	53	SAMN26764620	potato-based retail food product	Switzerland		exclude_review	food
GCF_029850435.1	Bacillus cytotoxicus	Contig	current	4146909	59	SAMN26764622	potato-based retail food product	Switzerland		exclude_review	food
GCF_029850445.1	Bacillus cytotoxicus	Contig	current	4214457	72	SAMN26764621	potato-based retail food product	Switzerland		exclude_review	food
GCF_029850805.1	Bacillus cytotoxicus	Contig	current	4314785	123	SAMN27533440	potato-based retail food product	Switzerland		exclude_review	food
GCF_033841565.1	Bacillus cereus group sp. BfR-BA-02730	Contig	current	6084816	122	SAMN38195828	food	Germany		exclude_review	food
GCF_033841575.1	Bacillus cereus group sp. BfR-BA-02679	Contig	current	5594959	138	SAMN38195827	food	Germany		exclude_review	food
GCF_033841625.1	Bacillus cereus group sp. BfR-BA-02675	Contig	current	5631150	123	SAMN38195826	food	Germany		exclude_review	food
GCF_033841645.1	Bacillus cereus group sp. BfR-BA-02570	Contig	current	5694438	138	SAMN38195825	food	Germany		exclude_review	food
GCF_033841665.1	Bacillus cereus group sp. BfR-BA-02490	Contig	current	5565528	141	SAMN38195823	food	Germany		exclude_review	food
GCF_033841675.1	Bacillus cereus group sp. BfR-BA-02491	Contig	current	5712698	124	SAMN38195824	food	Germany		exclude_review	food
GCF_033841705.1	Bacillus cereus group sp. BfR-BA-02147	Contig	current	5617100	115	SAMN38195822	food	Germany		exclude_review	food
GCF_033841725.1	Bacillus cereus group sp. BfR-BA-02138	Contig	current	5530655	122	SAMN38195821	food	Germany		exclude_review	food
GCF_033841745.1	Bacillus cereus group sp. BfR-BA-01748	Contig	current	5447616	107	SAMN38195820	food	Germany		exclude_review	food
GCF_033841755.1	Bacillus cereus group sp. BfR-BA-01363	Contig	current	6023125	139	SAMN38195817	food	Germany		exclude_review	food
GCF_033841785.1	Bacillus cereus group sp. BfR-BA-01665	Contig	current	5503995	132	SAMN38195818	food	Germany		exclude_review	food
GCF_033841795.2	Bacillus cereus group sp. BfR-BA-01700	Complete Genome	current	5822093	7	SAMN38195819	food	Germany		exclude_review	food
GCF_033841815.1	Bacillus cereus group sp. BfR-BA-01344	Contig	current	5602048	129	SAMN38195816	food	Germany		exclude_review	food
GCF_033841845.1	Bacillus cereus group sp. BfR-BA-01247	Contig	current	5593244	98	SAMN38195815	food	Germany		exclude_review	food
GCF_033841865.1	Bacillus cereus group sp. BfR-BA-01233	Contig	current	5525880	101	SAMN38195814	food	Germany		exclude_review	food
GCF_033841875.1	Bacillus cereus group sp. BfR-BA-01119	Contig	current	5533392	82	SAMN38195813	food	Germany		exclude_review	food
GCF_033841885.1	Bacillus cereus group sp. BfR-BA-01048	Contig	current	5642730	109	SAMN38195812	food	Germany		exclude_review	food
GCF_033841925.1	Bacillus cereus group sp. BfR-BA-01042	Contig	current	5645151	108	SAMN38195811	food	Germany		exclude_review	food
GCF_033841935.1	Bacillus cereus group sp. BfR-BA-01029	Contig	current	5540915	98	SAMN38195808	food	Germany		exclude_review	food
GCF_033841955.1	Bacillus cereus group sp. BfR-BA-01026	Contig	current	5399550	113	SAMN38195807	food	Germany		exclude_review	food
GCF_033841975.1	Bacillus cereus group sp. BfR-BA-01039	Contig	current	5719162	115	SAMN38195810	food	Germany		exclude_review	food
GCF_033841995.1	Bacillus cereus group sp. BfR-BA-01033	Contig	current	5638797	129	SAMN38195809	food	Germany		exclude_review	food
GCF_033842115.1	Bacillus cereus group sp. BfR-BA-00999	Contig	current	5647661	92	SAMN38195806	food	Germany		exclude_review	food
GCF_033842135.1	Bacillus cereus group sp. BfR-BA-00431	Contig	current	5428068	96	SAMN38195803	food	Germany		exclude_review	food
GCF_033842155.1	Bacillus cereus group sp. BfR-BA-00967	Contig	current	5646597	125	SAMN38195805	food	Germany		exclude_review	food
GCF_033842175.1	Bacillus cereus group sp. BfR-BA-00707	Contig	current	5585540	121	SAMN38195804	food	Germany		exclude_review	food
GCF_033842255.1	Bacillus cereus group sp. BfR-BA-00415	Contig	current	5536965	100	SAMN38195802	food	Germany		exclude_review	food
GCF_033842275.1	Bacillus cereus group sp. BfR-BA-00331	Contig	current	5774528	121	SAMN38195801	food	Germany		exclude_review	food
GCF_033842315.1	Bacillus cereus group sp. BfR-BA-00287	Contig	current	5675961	112	SAMN38195800	food	Germany		exclude_review	food
GCF_036851315.1	Bacillus cereus group sp. Sample62	Contig	current	5670196	6	SAMN18108457	blood culture	France: Angers	Homo sapiens	exclude_review	blood
GCF_036851355.1	Bacillus cereus group sp. Sample61	Contig	current	5662710	4	SAMN18108456	blood culture	France: Angers	Homo sapiens	exclude_review	blood
GCF_036851575.1	Bacillus cereus group sp. Sample30	Contig	current	5413061	8	SAMN18108442	blood culture	France: Tours	Homo sapiens	exclude_review	blood
GCF_042137715.1	Bacillus cytotoxicus	Contig	current	4252285	158	SAMN43782004	food: Sesame seeds	Switzerland		exclude_review	food
GCF_050876345.1	Bacillus cytotoxicus	Contig	current	4196455	87	SAMN46785649	Food; potato puree powder	Switzerland		exclude_review	food
GCF_050876385.1	Bacillus cytotoxicus	Contig	current	4221004	82	SAMN46785648	Food; potato puree powder	Switzerland		exclude_review	food
GCF_050876405.1	Bacillus cytotoxicus	Contig	current	4754004	155	SAMN46785646	Food; potato puree powder	Switzerland		exclude_review	food
GCF_050876425.1	Bacillus cytotoxicus	Contig	current	4757689	256	SAMN46785647	Food; potato puree powder	Switzerland		exclude_review	food
GCF_051131915.1	Bacillus cereus group sp. Sample44	Complete Genome	current	5207541	1	SAMN18108449	blood culture	France: Certeil	Homo sapiens	exclude_review	blood
GCF_051914505.1	Bacillus cereus group sp. BCN163	Contig	current	5203435	42	SAMN50000274	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914525.1	Bacillus cereus group sp. BCN162	Contig	current	5203027	41	SAMN50000273	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914545.1	Bacillus cereus group sp. BCN160	Contig	current	5178836	31	SAMN50000272	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914565.1	Bacillus cereus group sp. BCN159	Contig	current	5180071	30	SAMN50000271	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914585.1	Bacillus cereus group sp. BCN156	Contig	current	5180203	32	SAMN50000269	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914605.1	Bacillus cereus group sp. BCN157	Contig	current	5202879	42	SAMN50000270	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914625.1	Bacillus cereus group sp. BCN155	Contig	current	5181511	31	SAMN50000268	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914645.1	Bacillus cereus group sp. BCN150	Contig	current	5180529	30	SAMN50000267	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914655.1	Bacillus cereus group sp. BCN149	Contig	current	5179614	30	SAMN50000266	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914685.1	Bacillus cereus group sp. BCN148	Contig	current	5202914	41	SAMN50000265	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914705.1	Bacillus cereus group sp. BCN147	Contig	current	5178439	29	SAMN50000264	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914725.1	Bacillus cereus group sp. BCN115	Contig	current	5667091	32	SAMN50000262	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914735.1	Bacillus cereus group sp. BCN116	Contig	current	5181203	31	SAMN50000263	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914765.1	Bacillus cereus group sp. BCN108	Contig	current	5179620	32	SAMN50000261	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914785.1	Bacillus cereus group sp. BCN94	Contig	current	5203021	43	SAMN50000260	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914795.1	Bacillus cereus group sp. BCN90	Contig	current	5204027	42	SAMN50000259	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914825.1	Bacillus cereus group sp. BCN89	Contig	current	5180254	30	SAMN50000258	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914845.1	Bacillus cereus group sp. BCN87	Contig	current	5179165	31	SAMN50000256	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914865.1	Bacillus cereus group sp. BCN88	Contig	current	5182146	30	SAMN50000257	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914885.1	Bacillus cereus group sp. BCN86	Contig	current	5179463	31	SAMN50000255	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914905.1	Bacillus cereus group sp. BCN68	Contig	current	5178148	28	SAMN50000253	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914925.1	Bacillus cereus group sp. BCN67	Contig	current	5180121	30	SAMN50000252	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914945.1	Bacillus cereus group sp. BCN85	Contig	current	5180327	32	SAMN50000254	feces	China:Zhejiang	cow	exclude_review	feces
GCF_051914965.1	Bacillus cereus group sp. BCN65	Contig	current	5627365	46	SAMN50000250	feces	China:Zhejiang	cow	exclude_review	feces
